index,Наименование параметра,395МФ10
0,Размер профиля обрабатываемого изделия,
1,"Наибольшие размеры шлифуемого изделия, мм",150 х 60 х 78
2,"Наибольшая высота профиля шлифуемого изделия, мм",78
3,"Размер плоскости непосредственной шлифовки при увеличении х50, мм",10 х 10
4,"Размер плоскости непосредственной шлифовки при увеличении х25, мм",20 х 20
5,"Размер плоскости непосредственной шлифовки при увеличении х25, мм",
6,"Размер плоскости шлифовки с использованием эталонных плиток, мм",
7,"Максимальная толщина обрабатываемого изделия, мм",
8,Основные движения суппортов шлифовальной головки,
9,"Поворот нижнего суппорта, град",±45°
10,"Перемещение нижнего суппорта в поперечном направлении, мм",150
11,"Поворот верхнего суппорта, град",±45°
12,"Перемещение верхнего суппорта в продольном направлении, мм",
13,"Скорость перемещения суппортов шлифовальной головки, мм/мин",
14,"Поворот бабки шлифовальной головки вокруг горизонтальной оси, град",±15°
15,"Поворот салазок шлифовального шпинделя вокруг горизонтальной оси, град",+5°..-30°
16,"Длина хода шлифовальных салазок, мм",6..80
17,"Число двойных ходов шлифовальных салазок, ход/мин",44; 88
18,Основные движения стола изделия,
19,"Вертикальное перемещение стола вместе с колонкой, мм",100
20,"Продольное перемещение, мм",60
21,"Поперечное перемещение, мм",150
22,"Максимальный диаметр шлифовального круга, мм",150
23,"Скорость вращения, об/мин",3700; 4500
24,Увеличение оптической системы,"25:1, 50:1"
25,"Рабочая площадь экрана, мм",500 х 500
26,Тип оптического проектора,ИЗП-25
27,Привод и электрооборудование станка,
28,Тип устройства цифровой индикации,Ф5291
29,Количество электродвигателей на станке,
30,"Электродвигатель шпинделя, кВт",
31,"Электродвигатель привода суппортов шлифовальной головки, кВт",
32,"Электродвигатель перемещения каретки шлифовального шпинделя, кВт",
33,"Электродвигатель приспособления для круглого шлифования, кВт",
34,"Электродвигатель пылесоса, кВт",
35,"Электродвигатель насоса охлаждения, кВт",
36,"Вентилятор нижнего осветителя, кВт",
37,"Суммарная мощность электродвигателей, кВт",235
38,Габаритные размеры и масса станка,
39,"Габаритные размеры станка (длина х ширина х высота), мм",1555 х 1620 х 2000
40,"Масса станка с электрооборудованием и охлаждением, кг",1965
