index,Наименование параметра,3А184В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,"В/А"
2,"Наибольший диаметр обрабатываемой заготовки, мм",4..80
3,Наименьший диаметр рекомендуемый при врезном шлифовании,
4,"Наибольшая длина обрабатываемых изделий при сквозном шлифовании, мм",245
5,"Наибольшая длина обрабатываемых изделий при врезном шлифовании при ширине круга 150 мм, мм",156..245
6,"Наибольшая длина обрабатываемых изделий при врезном шлифовании при ширине круга 200 мм, мм",
7,"Наибольшая длина обрабатываемых изделий в нормальном приспособлении, мм",
8,"Наибольшая длина прутка в специальном приспособлении, мм",1000
9,"Высота от основания станка до оси кругов, мм",1060
10,"Высота от зеркала мостика до оси кругов (высота центров), мм",250
11,Шлифовальный круг,
12,Тип шлифовального круга по ГОСТ 2424-83,ПП
13,"Наружный диаметр наименьший/ наибольший, мм",390..500
14,"Высота (ширина) круга наименьшая/ наибольшая, мм",160..250
15,"Диаметр отверстия, мм",305
16,Ведущий круг,
17,Тип шлифовального круга по ГОСТ 2424-83,ПП
18,"Наружный диаметр наименьший/ наибольший, мм",295..350
19,"Наибольшая высота (ширина) наименьшая/ наибольшая, мм",160..250
20,"Диаметр отверстия, мм",203
21,Бабка шлифовального круга,
22,"Размер конца шпинделя шлифовального круга по ГОСТ 2323—67, мм",Ø 125 х 125
23,"Наибольшее установочное перемещение при снятых кругах (ход бабки), мм",140
24,Число оборотов в минуту,"1337, 2293"
25,"наименьшая и наибольшая окружная скорость (скорость шлифования), м/сек",35..60
26,"Наибольшее ускоренное перемещение при врезном шлифовании, мм",70
27,"Рабочее перемещение на одно деление лимба механизма подачи, мм",0001
28,"Рабочее перемещение на один оборот лимба механизма подачи, мм",0125
29,"Рабочее перемещение толчковой подачи, мм",0001
30,"Наибольшее рабочее перемещение механизмом врезания, мм",5
31,"Скорость подачи при врезном шлифовании, мм/мин",01..30
32,Бабка ведущего круга,
33,"Перемещение наибольшее при снятых кругах, мм",150
34,"Перемещение на одно деление лимба винта подачи, мм",002
35,"Перемещение на один оборот лимба винта подачи, мм",15
36,"Наибольший угол наклона в вертикальной плоскости, град",±8°
37,"Наибольший угол наклона в горизонтальной плоскости, мин",±30°
38,"Число оборотов в минуту при работе (бесступенчатое регулирование), об/мин",12..150
39,Число оборотов в минуту при правке,300
40,Механизм правки шлифовального круга,
41,"Наибольшее поперечное перемещение алмаза, мм",65
42,"Поперечное перемещение алмаза на одно деление лимба, мм",001
43,"Поперечное перемещение алмаза на один оборот лимба, мм",15
44,"Скорость перемещения алмаза в продольном направлении наибольшая, мм/мин",30..600
45,"Наибольший угол разворота копира, град",±5°
46,"Привод, габарит и масса станка",
47,Род тока питающей сети,"Переменный трехфазный, 380 В, частота тока 50 Гц"
48,"Напряжение электроприводов, в",380
49,"Напряжение цепей управления, в",110
50,"Напряжение цепей местного освещения, В",24
51,"Напряжение сигнализации, В",22
52,"Напряжение постоянного тока, В",24
53,Количество электродвигателей на станке,12
54,"Электродвигатель привода шлифовального круга, кВт (об/мин)",30 (1500)
55,Электродвигатель привода ведущего круга - тип,
56,"Электродвигатель привода ведущего круга, кВт (об/мин)","2,0 (3150)"
57,Электродвигатель привода электромашинного усилителя - тип,
58,"Электродвигатель привода электромашинного усилителя, кВт (об/мин)",
59,"Электродвигатель привода гидронасоса, кВт (об/мин)","2,2 (1000)"
60,"Электродвигатель насоса смазки подшипников шпинделя шлифовального круга, кВт (об/мин)","1,5 (1500)"
61,"Электродвигатель насоса смазки подшипников шпинделя ведущего круга, кВт (об/мин)","1,5 (1500)"
62,"Электродвигатель привода насоса охлаждения, кВт (об/мин)",
63,"Электродвигатель привода магнитного сепаратора, кВт (об/мин)","0,09 (1500)"
64,"Электродвигатель привода правки шлифовального круга, кВт (об/мин)","0,09 (1500)"
65,"Электродвигатель привода правки ведущего круга, кВт (об/мин)","0,09 (1500)"
66,"Электродвигатель привода ускоренного перемещения шлифовальной бабки, кВт (об/мин)","0,25 (1500)"
67,"Суммарная мощность электродвигателей, кВт",3824
68,Габаритные размеры и масса станка,
69,"Габарит станка (длина X ширина X высота), мм",3650 х 2420 х
70,"Масса станка с приставным оборудованием, кг",6990
