index,Наименование параметра,"3А227, 3А227П"
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр устанавливаемого изделия, мм",400
3,"Наибольший диаметр устанавливаемого изделия в кожухе, мм",250
4,"Наибольший диаметр устанавливаемого при шлифовании конических отверстий, мм",320
5,"Наибольший диаметр устанавливаемого в кулачках патрона, мм",175
6,"Наибольшая длина устанавливаемого изделия, мм",125
7,"Наименьший и наибольший диаметр шлифуемого отверстия, мм",20..100
8,"Наибольшая длина шлифования при диаметре шлифования не менее 100 мм, мм",
9,"Расстояние от оси шпинделя передней бабки до подошвы станины, мм",1135
10,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",230
11,"Расстояние от опорного торца фланца шпинделя изделия до торца кронштейна шлифовальной бабки, мм",800
12,"Расстояние от торца нового круга торцешлифовального приспособления до опорного торца фланца шпинделя, мм",
13,Рабочий стол станка,
14,"Размеры поверхности стола, мм",355 х 750
15,"Наибольшая длина продольного перемещения стола от руки, мм",450
16,"Наибольшая длина продольного перемещения стола от гидроцилиндра, мм",450
17,"Ручное перемещения стола за один оборот маховика, мм",165
18,"Скорость перемещения стола при шлифовании, м/мин",2..10
19,"Скорость перемещения стола при правке круга, м/мин",04..2
20,"Скорость перемещения стола при быстром продольном подводе и отводе, м/мин",12
21,Шлифовальная бабка,
22,"Наибольшее перемещение шлифовальной бабки вдоль стола, мм",240
23,"Частота вращения шпинделя внутришлифовальной головки, 1/мин",
24,"Наибольший диаметр шлифовального круга по ГОСТ 2424-83, мм",
25,"Наибольший высота шлифовального круга по ГОСТ 2424-83, мм",
26,"Диаметр отверстия шлифовального круга по ГОСТ 2424-83, мм",
27,Поперечное перемещение шлифовальной бабки,
28,"Перемещение за один оборот маховичка - грубое (наладочное), мм",25
29,"Перемещение за один оборот маховичка - тонкое, мм",025
30,"Перемещение на одно деление лимба, мм",0001
31,"Перемещение на одно качание рычага ручной дозированной подачи, мм",0001
32,"Наибольшее наладочное перемещение шлифовальной бабки - назад (на рабочего), мм",
33,"Наибольшее наладочное перемещение шлифовальной бабки - вперед (от рабочего), мм",
34,"Величины поперечной подачи шлифовальной бабки на сторону, мм/дв.ход",
35,"Передняя бабка (бабка изделия, шпиндель изделия)",
36,"Наибольший угол поворота бабки изделия, град",30
37,"Наибольший наладочное перемещение бабки изделия - назад (на рабочего), град",30
38,"Наибольший наладочное перемещение бабки изделия - вперед (от рабочего), град",120
39,"Частота вращения изделия (бесступенчатое регулирование), об/мин",180..1200
40,"Внутренний конус шпинделя изделия, об/мин",Морзе 5
41,Торцешлифовальное приспособление,
42,"Частота вращения торцового шпинделя, 1/мин",
43,"Продольное перемещение торцового шлифовального круга наибольшее наладочное, мм",160
44,"Продольное перемещение торцового шлифовального круга наибольшее рабочее (тонкое), мм",
45,"Продольное перемещение торцового шлифовального круга за один оборот маховичка наладочного перемещения, мм",
46,"Продольное перемещение торцового шлифовального круга за один оборот маховичка рабочей (тонкой) подачи, мм",
47,"Продольное перемещение торцового шлифовального круга на одно деление лимба рабочей (тонкой) подачи, мм",
48,"Размеры торцешлифовального круга, мм",
49,Привод и электрооборудование станка,
50,Количество электродвигателей на станке,
51,"Электродвигатель шпинделя шлифовальной бабки, кВт",30
52,"Электродвигатель привода торцешлифовального приспособления, кВт",
53,"Электродвигатель привода изделия (бабки изделия) постоянного тока, кВт",
54,"Электродвигатель насоса гидросистемы, кВт",
55,"Электродвигатель фильтра-транспортера, кВт",
56,"Электродвигатель насоса системы охлаждения, кВт",015
57,"Электродвигатель магнитного сепаратора, кВт",
58,"Общая мощность электродвигателей, кВт",
59,"Привод с магнитным усилителем ПМУ5М4У4, кВт",
60,"Привод с магнитным усилителем ЭТ1Е2-9УХП4, кВт",
61,Количество преобразовательных агрегатов,
62,Габаритные размеры и масса станка,
63,"Габаритные размеры станка (длина х ширина х высота), мм",2500 х 1490 х 1650
64,"Масса станка с электрооборудованием и охлаждением, кг",3100
