index,Наименование параметра,3Г833
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Диаметр хонингования наименьший/ наибольший/ допустимый, мм",30/ 125/ 165
3,"Длина хонингования, мм",150..450
4,"Расстояние от оси шпинделя до направляющих (вылет), мм",300
5,"Расстояние от торца шпинделя до поверхности плиты, мм",50..550
6,"Размер рабочей поверхности стола, мм",500 х 1000
7,Шпиндель станка,
8,"Частота вращения шпинделя, об/мин","155, 280, 400"
9,"Ход шпинделя, мм",500
10,Конус шпинделя по ГОСТ 25557-82,Морзе 4 АТ6
11,"Скорость возвратно-поступательного движения шпинделя, м/мин","8; 11,8; 18"
12,"Давление в гидросистеме возвратно-поступательного движения шпинделя, МПа",нет
13,"Ход толкателя разжима брусков, мм",
14,"Давление в гидросистеме разжима брусков, МПа",
15,"Наибольший крутящий момент на шпинделе, кНм",
16,"Наибольшее осевое усилие на шпинделе, кН",
17,Привод станка,
18,Количество электродвигателей на станке,3
19,"Электродвигатель привода главного движения - вращения шпинделя (ДШ)(М2), кВт",30
20,"Электродвигатель привода возвратно-поступательного движения (ДП), кВт",11
21,"Электродвигатель привода гидравлики (М1), кВт",нет
22,"Электродвигатель охлаждения (ДО)(М3), кВт",012
23,"Общая мощность электродвигателей станка, кВт",422
24,Габарит станка,
25,"Габариты станка (длина х ширина х высота), мм",1205 х 1180 х 2670
26,"Масса станка, кг",1200
