index,Наименование параметра,3Д641Е
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие диаметр изделия устанавливаемого в центрах, мм",200
3,"Наибольшая длина устанавливаемого в центрах, мм",400
4,"Высота центров, мм",100
5,"Расстояние между осью шлифовального круга и линией центров в горизонтальной плоскости, мм",15..285
6,"Расстояние между осью шлифовального круга и линией центров в вертикальной плоскости, мм",30..195
7,Рабочий стол станка,
8,"Размеры рабочей поверхности стола по ГОСТ 6569-75 (длина х ширина), мм",100..630
9,"Наибольшее продольное/ поперечное ручное перемещение стола, мм",350
10,"Перемещение продольное/ поперечное стола на одно деление лимба, мм",
11,"Перемещение поперечное стола на одно деление тонкой подачи, мм",
12,"Угол поворота стола в горизонтальной плоскости, град",±45°
13,Бабка шлифовальная,
14,"Наибольшее вертикальное перемещение бабки, мм",200
15,"Вертикальное перемещение на одно деление лимба, мм",0002
16,"Вертикальное перемещение за оборот маховика, мм",004
17,"Наибольшее поперечное перемещение бабки, мм",180
18,"Поперечное перемещение бабки на один оборот быстрой подачи, мм",2
19,"Поперечное перемещение бабки на один оборот тонкой подачи, мм",008
20,"Поперечное перемещение бабки на одно деление быстрой подачи, мм",001
21,"Поперечное перемещение бабки на одно деление тонкой подачи, мм",0001
22,"Угол поворота бабки в горизонтальной плоскости, град",360°
23,Шлифовальная головка,
24,"Число оборотов заточного круга при ступенчатом регулировании, об/мин","2800, 4000, 5600, 8000"
25,Конец шлифовального шпинделя по ГОСТ 2324-77 исполнение 2,Морзе 3 АТ6
26,"Наибольший диаметр устанавливаемого шлифовального круга, мм",200
27,"Наибольший диаметр устанавливаемого шлифовального круга других типов (фасонного профиля), мм",125
28,Универсальная головка,
29,Размер внутренних конусов шпинделей,
30,"Угол поворота в горизонтальной и вертикальной областях, град",
31,Электрооборудование и привод станка,
32,Количество электродвигателей на станке,4
33,"Электродвигатель привода шпинделя шлифовальных кругов, кВт (об/мин)","0,63/ 0,95 (1433/ 2865)"
34,"Электродвигатель вертикального перемещения шлифовальной бабки, кВт (об/мин)","0,18 (1365)"
35,"Электродвигатель привода изделия, кВт (об/мин)","0,25 (1380)"
36,"Электродвигатель гидропривода, кВт (об/мин)","0,55 (1500)"
37,"Электродвигатель насоса охлаждения, кВт (об/мин)",
38,"Электродвигатель пылесоса, кВт (об/мин)",
39,"Общая установленная мощность всех электродвигателей, кВт","1,61/ 1,93"
40,род тока питающей сети,"50Гц, 380/220 В"
41,Габариты и масса станка,
42,"Габарит станка, мм",1165 х 1116 х 1350
43,"Масса станка, кг",850
