index,Наименование параметра,3Д711АФ10-1 (ОРША 2045)
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольшие размеры устанавливаемой заготовки (длина х ширина х высота), мм",
3,"Наибольшие размеры обрабатываемой заготовки (длина х ширина х высота), мм",
4,"Наибольшая высота обрабатываемых изделий при наибольшем диаметре шлифовального круга, мм",
5,"Наибольшая высота обрабатываемых изделий при наименьшем диаметре шлифовального круга, мм",
6,"Расстояние от оси шпинделя до зеркала стола, мм",450
7,"Наибольшая масса обрабатываемых изделий с плитой, кг",150
8,"Точностные параметры, максимально достигаемые на образце-изделии",
9,"Размер образца-изделия, мм",210 х 120 х 80
10,"плоскостность, мкм",4
11,"параллельность, мкм",5
12,"шероховатость поверхности, обработанной периферией шлифовального круга, Ra",016
13,"Перпендикулярность траектории поперечного перемещения стола к направлению его продольного перемещения, мкм",
14,Рабочий стол станка,
15,"Размеры установочной поверхности стола (длина х ширина), мм",
16,"Размеры рабочей поверхности стола (длина х ширина), мм",450 х 200
17,"Наибольшее ручное продольное перемещение стола, мм",520
18,"Наибольшее продольное перемещение стола от гидроцилиндра, мм",
19,"Скорость продольного перемещения стола (бесступенчатое регулирование), м/мин",
20,Суппорт стола. Механизм поперечной подачи стола,
21,"Наибольшее ручное поперечное перемещение суппорта стола/ автоматическое, мм",237
22,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм",
23,"Скорость непрерывных перемещений шлифовальной головки, м/мин",
24,Шлифовальная бабка. Шлифовальный круг,
25,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",
26,"Дискретность задания вертикального перемещения, мм",
27,"Цифровая индикация вертикального перемещения на длине (шаг 0,001) - наименьшее (наибольшее) , мм",
28,"Цифровая индикация поперечного перемещения на длине, мм",-
29,"Отскок шлифовального круга после окончания цикла (наибольший/ наименьший/ дискретность), мм",
30,"Ускоренное вертикальное перемещение шлифовальной бабки, м/мин",
31,"Ускоренное перемещение крестового суппорта стола, м/мин",
32,"Размеры шлифовального круга (D x d x h), мм",250 х 32 х 76
33,"Диаметр конца шлифовального шпинделя, мм",
34,Число оборотов шлифовального круга в минуту,
35,"Наибольшая (наименьшая) скорость резания (окружная скорость шлифовального круга), м/с",
36,"Цена деления лимба маховика вертикального перемещения, мм",
37,"Цена деления лимба тонкой вертикальной подачи, мм",
38,"Автоматическая подача вертикального перемещения (ступенчатая черновая с шагом 0,01), мм",
39,"Автоматическая подача вертикального перемещения (ступенчатая чистовая с шагом 0,001), мм",
40,"Автоматическая подача вертикального перемещения (ступенчатая с шагом 0,002), мм",-
41,Электрооборудование и привод станка,
42,Количество электродвигателей на станке,
43,"Электродвигатель привода шпинделя шлифовального круга, кВт (об/мин)",22
44,"Электродвигатель гидропривода стола, кВт",
45,"Электродвигатель привода вертикальной подачи, Н*м",
46,"Электродвигатель ускоренного перемещения шлифовальной головки, кВт (об/мин)",
47,"Электродвигатель привода поперечной подачи, кВт (об/мин)",
48,"Электродвигатель вентилятора охлаждения масла в гидростанции, кВт (об/мин)",
49,"Электродвигатель вентилятора охлаждения электрошкафа, кВт (об/мин)",
50,"Электродвигатель насоса охлаждения, кВт (об/мин)",
51,"Электродвигатель магнитного сепаратора в комплекте с агрегатом, кВт",
52,"Электродвигатель привода механизма правки, кВт",
53,"Общая установленная мощность всех электродвигателей, кВт",
54,род тока питающей сети,"50Гц, 380 В"
55,Габариты и масса станка,
56,"Габарит станка (длина х ширина х высота), мм",1600 х 1680 х 1540
57,"Масса станка, кг",1740
