index,Наименование параметра,3Д725
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых на столе изделий (длина х ширина х высота), мм",2000 х 630 х 630
3,"Наибольшие размеры изделий, обрабатываемых на электромагнитной плите (длина х ширина х высота), мм",2000 х 630 х 505
4,"Наибольшая масса изделий, обрабатываемых на электромагнитной плите, кг",2000
5,"Наибольшая масса обрабатываемых на столе изделий, кг",650
6,"Расстояние от оси шпинделя до зеркала стола, мм",235..880
7,Рабочий стол станка,
8,"Размеры рабочей поверхности стола (длина х ширина), мм",2000 х 630
9,"Размеры поверхности электромагнитной плиты (длина х ширина), мм",2000 х 630
10,"Продольное перемещение стола от гидравлики (наименьшее/наибольшее, мм",300...2100
11,"Скорость возвратно-поступательного движения стола, м/мин",3...30
12,Шлифовальная бабка (шпиндельная бабка),
13,Шлифовальный круг по ГОСТ 2424-75,ПП500(300) х 100 х 305
14,Число оборотов шлифовального круга в минуту,1470
15,"Наибольший допустимый крутящий момент на шпинделе, кгс*м",
16,"Конец шпинделя шлифовальной бабки по ГОСТ 2323-67 (наибольший диаметр), мм",100
17,"Наибольшее поперечное перемещение шлифовальной бабки (ручное и от гидравлики), мм",660
18,"Цена деления лимба поперечного перемещения шлифовальной бабки, мм",005
19,"Поперечное перемещение шлифовальной бабки на один оборот лимба, мм",2
20,"Пределы скоростей поперечной подачи шлифовальной бабки (бесступенчатое регулирование), м/мин",02...1
21,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм",2...75
22,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",645
23,"Цена деления лимба вертикального перемещения шлифовальной бабки, мм",0004
24,"Вертикальное перемещение шлифовальной бабки на один оборот лимба, мм",05
25,"Автоматические вертикальные подачи шлифовальной бабки, мм",0004...01
26,"Скорость вертикального ускоренного перемещения, м/мин",0375
27,Привод и электрооборудование станка,
28,род тока питающей сети,"50Гц, 380 В"
29,Количество электродвигателей на станке,8
30,"Электродвигатель шпинделя шлифовальной бабки, кВт",30
31,"Электродвигатель вертикального ускоренного перемещения шлифовальной бабки, кВт",15
32,"Электродвигатель регулирования скорости стола, кВт",055
33,"Электродвигатель насоса системы управления, кВт",
34,"Электродвигатель насоса гидросистемы (гидропривода), кВт",11
35,"Электродвигатель насоса системы смазки, кВт",018
36,"Электродвигатель насоса системы охлаждения, кВт",06
37,"Электродвигатель магнитного сепаратора, кВт",012
38,"Электродвигатель воздушного теплообменника, кВт",018
39,"Общая установленная мощность всех электродвигателей, кВт",4413
40,Габариты и масса станка,
41,"Габарит станка, мм",5750 х 2860 х 2860
42,"Масса станка, кг",15450
