index,Наименование параметра,3К227В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр устанавливаемого изделия, мм",400
3,"Наибольший диаметр устанавливаемого изделия в кожухе, мм",250
4,"Наибольший диаметр устанавливаемого при шлифовании конических отверстий, мм",
5,"Наибольший диаметр устанавливаемого в кулачках патрона, мм",
6,"Наибольшая длина устанавливаемого изделия, мм",125
7,"Наименьший и наибольший диаметр шлифуемого отверстия, мм",20..160
8,"Наибольшая длина шлифования при диаметре шлифования не менее 100 мм, мм",125
9,"Расстояние от оси шпинделя передней бабки до подошвы станины, мм",1200
10,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",275
11,"Расстояние от опорного торца фланца шпинделя изделия до торца кронштейна шлифовальной бабки, мм",880
12,"Расстояние от торца нового круга торцешлифовального приспособления до опорного торца фланца шпинделя, мм",120..260
13,Рабочий стол станка,
14,"Размеры поверхности стола, мм",
15,"Наибольшая длина продольного перемещения стола от руки, мм",450
16,"Наибольшая длина продольного перемещения стола от гидроцилиндра, мм",450
17,"Ручное перемещения стола за один оборот маховика, мм",19
18,"Скорость перемещения стола при шлифовании, м/мин",1..7
19,"Скорость перемещения стола при правке круга, м/мин",01..2
20,"Скорость перемещения стола при быстром продольном подводе и отводе, м/мин",10
21,Шлифовальная бабка,
22,"Наибольшее перемещение шлифовальной бабки вдоль стола, мм",
23,"Частота вращения шпинделя внутришлифовальной головки, 1/мин","7200, 9000, 12000, 18000, 22000"
24,"Наибольший диаметр шлифовального круга по ГОСТ 2424-83, мм",пп20..80
25,"Наибольший высота шлифовального круга по ГОСТ 2424-83, мм",20..50
26,"Диаметр отверстия шлифовального круга по ГОСТ 2424-83, мм",6..20
27,Поперечное перемещение шлифовальной бабки,
28,"Перемещение за один оборот маховичка - грубое (наладочное), мм",25
29,"Перемещение за один оборот маховичка - тонкое, мм",025
30,"Перемещение на одно деление лимба, мм",0001
31,"Перемещение на одно качание рычага ручной дозированной подачи, мм",0001
32,"Наибольшее наладочное перемещение шлифовальной бабки - назад (на рабочего), мм",10
33,"Наибольшее наладочное перемещение шлифовальной бабки - вперед (от рабочего), мм",50
34,"Величины поперечной подачи шлифовальной бабки на сторону, мм/дв.ход","0,001; 0,002; 0,003; 0,004; 0,005; 0,006"
35,"Передняя бабка (бабка изделия, шпиндель изделия)",
36,"Наибольший угол поворота бабки изделия, град",45
37,"Наибольший наладочное перемещение бабки изделия - назад (на рабочего), град",30
38,"Наибольший наладочное перемещение бабки изделия - вперед (от рабочего), град",120
39,"Частота вращения изделия (бесступенчатое регулирование), об/мин",60..1200
40,"Внутренний конус шпинделя изделия, об/мин",Морзе 5
41,Торцешлифовальное приспособление,
42,"Частота вращения торцового шпинделя, 1/мин",5600
43,"Продольное перемещение торцового шлифовального круга наибольшее наладочное, мм",160
44,"Продольное перемещение торцового шлифовального круга наибольшее рабочее (тонкое), мм",4
45,"Продольное перемещение торцового шлифовального круга за один оборот маховичка наладочного перемещения, мм",27
46,"Продольное перемещение торцового шлифовального круга за один оборот маховичка рабочей (тонкой) подачи, мм",01
47,"Продольное перемещение торцового шлифовального круга на одно деление лимба рабочей (тонкой) подачи, мм",00025
48,"Размеры торцешлифовального круга, мм",ЧШ100 х 50 х 20
49,Привод и электрооборудование станка,
50,Количество электродвигателей на станке,7
51,"Электродвигатель шпинделя шлифовальной бабки, кВт",40
52,"Электродвигатель привода торцешлифовального приспособления, кВт",15
53,"Электродвигатель привода изделия (бабки изделия) постоянного тока, кВт",12
54,"Электродвигатель насоса гидросистемы, кВт",30
55,"Электродвигатель фильтра-транспортера, кВт",009
56,"Электродвигатель насоса системы охлаждения, кВт",015
57,"Электродвигатель магнитного сепаратора, кВт",009
58,"Общая мощность электродвигателей, кВт",100
59,"Привод с магнитным усилителем ПМУ5М4У4, кВт",-
60,"Привод с магнитным усилителем ЭТ1Е2-9УХП4, кВт",10
61,Количество преобразовательных агрегатов,1
62,Габаритные размеры и масса станка,
63,"Габаритные размеры станка (длина х ширина х высота), мм",2885 х 1900 х 1750
64,"Масса станка с электрооборудованием и охлаждением, кг",4400
