index,Наименование параметра,3Л631
0,Основные параметры,
1,Класс точности станка по ГОСТ 8-77,П
2,Количество шлифовальных кругов,2
3,"Высота оси шпинделя (центров) от основания станка, мм",160
4,"Расстояние между внутренними торцами шлифовальных кругов, мм",385
5,"Скорость шлифования (окружная скорость) при новом шлифовальном круге, м/с",30
6,"Наибольшаяя рекомендуемая высота затачиваемых резцов, мм",25
7,Шпидель,
8,"Частота вращения, об/мин",2840
9,"Конец шлифовального шпинделя по ГОСТ 2323-76 (диаметр/длина), мм",20 × 20
10,Шлифовальный круг,
11,Тип шлифовальных кругов,ПП200 х 32 х 32
12,"Наружный диаметр круга нового/ изношенного, мм",200/ 100
13,Кожух шлифовального круга,
14,"Внутренняя ширина, мм",67
15,"Внутренний диаметр, мм",228
16,"толшина стенок, мм",3
17,Электрооборудование,
18,"Питающая сеть, обычное исполнение","380 В, 50Гц"
19,"Питающая сеть, исполнение 01","440/220/415 В, 50Гц"
20,"Электродвигатель привода, кВт (об/мин)","0,75 (2840)"
21,Электродвигатель привода,4АИРБ71А2У3
22,Габариты и масса станка,
23,"Габариты станка (длина ширина высота), мм",610 × 372 × 382
24,"Масса станка, кг",42
