index,Наименование параметра,3Л741ВФ10
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольшие размеры обрабатываемых изделий (диаметр х высота), мм",630 х 350
3,"Наименьшие размеры обрабатываемой заготовки круглого сечения, (диаметр х высота), мм",50 х 40
4,"Необрабатываемый внутренний диаметр заготовки наибольшего диаметра, мм",
5,"Наибольшее расстояние от основания станка до рабочей поверхности стола, мм",
6,"Плоскость обработанных поверхностей, мкм",
7,"Параллельность верхней обработанной поверхности основанию, мкм",
8,"Шероховатость обработанной поверхности, Ra, мкм",063
9,"Наибольшая масса обрабатываемых изделий, кг",300
10,Рабочий стол станка,
11,"Диаметр магнитного стола, мм",630
12,"Диаметр электромагнитного стола, мм",
13,"Частота вращения стола (6 ступеней), об/мин",
14,"Продольное перемещение стола, мм",-
15,"Скорость продольного движения стола, м/мин",-
16,"Мощность электромагнитной плиты, Вт",
17,Шлифовальная бабка,
18,"Наибольшие размеры шлифовального круга по ГОСТ 2424-83, мм",450х80х203
19,Число оборотов шлифовального круга в минуту,1460
20,"Конец шпинделя шлифовальной бабки по ГОСТ 2323-76 (наибольший диаметр), мм",80
21,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",350
22,"Цена деления лимба вертикального перемещения шлифовальной бабки, мм",
23,"Вертикальное перемещение шлифовальной бабки на один оборот лимба, мм",
24,"Вертикальные подачи шлифовальной бабки, мм/мин",0002..01
25,"Скорость вертикального ускоренного перемещения, м/мин",02
26,"Скорость замедленного подвода шлифовальной бабки, мм/мин",
27,"Поперечное перемещение стойки, мм",430
28,Привод и электрооборудование станка,
29,Род тока питающей сети,"50Гц, 380 В"
30,Количество электродвигателей на станке,9
31,Тип УЦИ,Ф5290
32,"Электродвигатель шпинделя шлифовальной бабки, кВт",11
33,"Электродвигатель привода вращения стола, кВт",
34,"Электродвигатель привода подач, кВт",
35,"Электродвигатель насоса системы смазки, кВт",
36,"Электродвигатель насоса системы охлаждения, кВт",
37,"Электродвигатель магнитного сепаратора, кВт",
38,"Общая установленная мощность всех электродвигателей, кВт",1622
39,Габариты и масса станка,
40,"Габарит станка, мм",2860 х 1630 х 2660
41,"Масса станка, кг",5800
