index,Наименование параметра,3М132В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр обрабатываемого изделия, мм",280
3,"Наибольшая длина обрабатываемого изделия, мм",1000
4,"Наибольший диаметр шлифования без люнета, мм",280
5,"Наибольший диаметр шлифования в люнете, мм",60
6,"Наименьший диаметр шлифования при изношенном круге, мм",-
7,"Наибольшая длина шлифования, мм",
8,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",185
9,"Наибольшая масса обрабатываемого изделия, кг",55
10,Конус шпинделя передней бабки и пиноли задней бабки по ГОСТ 2847-67,
11,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",
12,Станина и столы станка,
13,"Наибольшее продольное перемещение стола, мм",995
14,"Наименьший ход стола между упорами, мм",
15,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм",
16,"Скорость перемещения стола от гидросистемы, м/мин",005..5
17,"Наибольший угол поворота верхнего стола по часовой стрелке, град",8
18,"Наибольший угол поворота верхнего стола против часовой стрелки, град",8
19,"Цена деления шкалы поворота верхнего стола, град",0°20′
20,Шлифовальная бабка,
21,"Диаметр шлифовального круга - наибольший/ наименьший, мм",600/ 450
22,"Диаметр шлифовального круга - посадочный, мм",305
23,"Наибольшая высота устанавливаемого круга, мм",80
24,"Частота вращения шпинделя шлифовальной бабки (круг = Ø600мм), об/мин",
25,"Наибольший угол поворота шлифовальной бабки, град",±30°
26,Механизм поперечных подач шлифовальной бабки,
27,"Наибольшее перемещение шлифовальной бабки по винту, мм",290
28,"Величина быстрого подвода шлифовальной бабки, мм",
29,"Время быстрого подвода шлифовальной бабки, с",
30,"Толчковая подача - периодическая подача с реверсированием стола, мм",0001..005
31,"Величина тонкой подачи, мм",
32,"Величина тонкой толчковой подачи, мм",0001
33,"Величина врезной подачи на диаметр изделия, мм",
34,"Непрерывная подача для врезного шлифования (бесступенчатое регулирование), мм/мин",
35,"Цена деления лимба поперечной подачи, мм",0005
36,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",05
37,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",
38,Приспособление для внутреннего шлифования,
39,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",200
40,"Наибольшая длина шлифуемого отверстия, мм",125
41,"Диаметр шлифуемого отверстия, мм",15..125
42,"Диаметр внутиришлифовальной головки, мм",
43,Число оборотов внутришлифовального шпинделя,
44,Передняя бабка,
45,"Частота вращения изделия (бесступенчатое регулирование), об/мин",40..800
46,Конус центра по ГОСТ 13211-67,Морзе 4
47,"Наибольший угол поворота передней бабки к шлифовальному кругу, град",90
48,"Наибольший угол поворота передней бабки от шлифовального круга, град",30
49,Задняя бабка,
50,"Величина отвода пиноли задней бабки от руки, мм",35
51,Конус центра задней бабки по ГОСТ 13211-67,Морзе 4
52,Привод и электрооборудование станка,
53,Количество электродвигателей на станке,
54,"Электродвигатель шпинделя шлифовальной бабки, кВт",
55,"Электродвигатель перемещения шлифовальной бабки, кВт",
56,"Электродвигатель внутришлифовального шпинделя, кВт",
57,"Электродвигатель привода изделия, кВт",
58,"Электродвигатель насоса гидросистемы, кВт",
59,"Электродвигатель насоса системы смазки шпинделя, кВт",027
60,"Электродвигатель насоса системы смазки направляющих стола, кВт",
61,"Электродвигатель насоса системы охлаждения, кВт",
62,"Электродвигатель магнитного сепаратора, кВт",
63,"Электродвигатель вентилятора гидроагрегата, кВт",
64,"Электродвигатель фильтра-транспортера, кВт",
65,Габаритные размеры и масса станка,
66,"Габаритные размеры станка (длина х ширина х высота), мм",
67,"Масса станка с электрооборудованием и охлаждением, кг",
