index,Наименование параметра,3М634
0,Основные параметры станка,
1,Количество шлифовальных кругов,2
2,"Наибольший наружный диаметр круга, мм",400
3,"Наибольшая высота (ширина) круга, мм",40
4,"Посадочный диаметр круга, мм",203
5,"Диаметр изношенного круга, мм",
6,Класс неуравновешенности,
7,"Высота центров от основания, мм",850
8,"Расстояние между кругами, мм",700
9,"Габариты стола, мм",150 х 80
10,"Количество столов, мм",2
11,Шпидель,
12,"Частота вращения, об/мин",1398
13,"Максимальная скорость резания, м/с",
14,Электрооборудование,
15,Питающая сеть,~380 В 50 Гц
16,"Электродвигатель привода, кВт","2,8 (1420)"
17,Габариты и масса станка,
18,"Габариты станка (длина ширина высота), мм",900 х 600 х 1200
19,"Масса станка, кг",450
