index,Наименование параметра,3У12АФ11
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,А
2,"Наибольший диаметр обрабатываемого изделия, мм",200
3,"Наибольшая длина обрабатываемого изделия (РМЦ), мм",500
4,"Наименьший и наибольший диаметр шлифования, мм",
5,"Рекомендуемый диаметр шлифования, мм",
6,"Наибольшая длина шлифования, мм",450
7,"Наибольшая длина внутреннего шлифования, мм",75
8,"Рекомендуемый диапазон диаметров шлифуемых отверстий, мм",13..50
9,"Наибольшая рекомендуемая масса изделия, кг",
10,"Наименьший и наибольший диаметр шлифуемого отверстия, мм",
11,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",125
12,"Высота центров над столом, мм",
13,"Расстояние от подошвы станка до оси изделия, мм",1095
14,Точность,
15,"Постоянство диаметра в продольном сечении, мм",0003
16,"Круглость, мм",00006
17,Стол станка,
18,"Наибольшее продольное перемещение стола механическое / ручное, мм",500 / 500
19,"Наименьший ход стола между упорами, мм",
20,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм","1,2 / 14,27"
21,"Скорость перемещения стола от гидросистемы (регулирование Б/с), м/мин",003..50
22,"Наибольший угол поворота верхнего стола по часовой / против часовой стрелки, град","8,5° / 8,5°"
23,Шлифовальная бабка,
24,"Наибольшее перемещение шлифовальной бабки по винту подачи, мм",100
25,"Перемещение шлифовальной бабки относительно верхних салазок, мм",
26,"Перемещение шлифовальной бабки во время быстрого подвода, мм",55
27,"Время быстрого установочного перемещения (подвода и отвода) шлифовальной бабки, с",3
28,"Точность повторного быстрого установочного подвода шлифовальной бабки, мм",0001
29,"Угол поворота шлифовальной бабки, град",±30°
30,"Угол поворота шлифовальния, град",90°
31,Шлифовальный круг по ГОСТ 2424-67,300..400 х 40 х 203
32,"Диаметр конца шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5), мм",Ø 65
33,"Частота вращения шпинделя наружного шлифования, об/мин","2390, 2000, 1670"
34,"Скорость шлифовального круга (устанавливается сменными шкивами) - изношенного / неизношенного, м/с","37,5; 31,5; 26,25 / 50; 42; 35"
35,Механизм подачи шлифовальной бабки,
36,"Величина хода автоматической импульсной подачи на диаметр (регулирование бесступенчатое) - периодическая подача с реверсированием стола, мм",0002..006
37,"Скорость врезной подачи (регулирование бесступенчатое), мм/мин",003..15
38,"Скорость реверса врезной подачи, мм/мин на радиус",15
39,"Величина перемещения шлифовальной бабки на одно деление лимба, мм на радиус",0002
40,"Величина перемещения шлифовальной бабки за один оборот маховика, мм на радиус",025
41,"Величина ручной толчковой подачи шлифовальной бабки, мм на радиус",00005
42,"Величина хода автоматической подачи шлифовальной бабки, соответствующей наибольшему припуску, мм на диаметр не более",10
43,"Скорость быстрого установочного перемещения шлифовальной бабки, м/мин на радиус",014
44,"Скорость быстрого перегона шлифовальной бабки (для исполнения с перегоном), мм/мин",
45,Приспособление для внутреннего шлифования,
46,"Диаметр внутришлифовальной головки, мм",Ø 13..40
47,Число оборотов внутришлифовального шпинделя,16000
48,Передняя бабка (бабка изделия),
49,"Частота вращения изделия (бесступенчатое регулирование), об/мин",55..900
50,"Угол поворота в сторону шлифовального круга (по часовой стрелке), град",90°
51,"Угол поворота в сторону от шлифовального круга (против часовой стрелки), град",30°
52,Конус шпинделя передней бабки по ГОСТ 2847-67,Морзе 4
53,Задняя бабка,
54,"Величина отвода пиноли задней бабки от руки, мм",30
55,Конус шпинделя пиноли задней бабки по ГОСТ 2847-67,Морзе 4
56,Привод и электрооборудование станка,
57,Количество электродвигателей на станке,11
58,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)",40
59,"Электродвигатель внутришлифовального шпинделя, кВт (об/мин)",11
60,"Электродвигатель привода изделия, кВт (об/мин)",085
61,"Электродвигатель привода подачи, кВт (об/мин)",037
62,"Электродвигатель насоса гидросистемы, кВт (об/мин)",30
63,"Электродвигатель насоса системы смазки шпинделя, кВт (об/мин)",027
64,"Электродвигатель насоса системы охлаждения СОЖ, кВт","0,12 (3000)"
65,"Электродвигатель магнитного сепаратора, кВт",012
66,"Электродвигатель привода перегона стола, кВт",025
67,"Электродвигатель вентилятора охлаждения смазки шпинделя круга и шпинделя бабки изделия, кВт",012
68,"Электродвигатель привода транспортера фильтра, кВт",008
69,"Общая мощность всех электродвигателей, кВт",
70,Габаритные размеры и масса станка,
71,"Габаритные размеры станка (длина х ширина х высота), мм",2260 х 1780 х 1680
72,"Масса станка с электрооборудованием и охлаждением, кг",4200
