index,Наименование параметра,5А26
0,Основные параметры станка,
1,"Наибольший диаметр нарезаемых колес при передаточном отношении пары 10:1, мм",610
2,"Наибольший окружной модуль нарезаемого колеса, мм",1..8
3,"Внешнее конусное расстояние (длина образующей делительного конуса) обрабатываемых зубчатых колес, мм",0..300
4,Наибольшее число нарезаемых зубьев,10..200
5,"Наибольшая длина зуба нарезаемого колеса (Наибольшая ширина зубчатого венца), мм",90
6,Режущий инструмент,2-а резца
7,"Наибольшая высота нарезаемого зуба, мм",
8,Рекомендуемое число нарезаемых зубьев,
9,"Наибольший угол установки суппортов, град",
10,"Расстояние от торца шпинделя бабки изделия до центра полуавтомата, мм",
11,"Угол внутреннего делительного конуса нарезаемых зубчатых колес (установочный угол бабки изделия), град",5°42`..105°
12,Люлька,
13,"Наибольший угол качания люльки от центрального положения вверх и вниз, град",
14,"Поворот люльки при наладке, град",
15,"Цена деления окружной шкалы поворота люльки при наладке, град",
16,Суппорты,
17,"Число двойных ходов резца в минуту, мин-1",
18,"Наибольший угол установки суппортов, град",
19,"Поворот суппорта на одно деление шкалы линейки/ нониуса, мин",
20,"Наибольший ход резца при любом угле установки суппортов, мм",
21,"Необходимый выход резца из изделия с тонкого конца зуба, мм",
22,"Необходимый выход резца из изделия с толстого конца зуба, мм",
23,Тип зубострогальных резцов по ГОСТ 9392-75,
24,"Скорость обкатки - время рабочего хода при нарезании одного зуба (бесступенчатое регулирование), с/зуб",
25,Бабка изделия,
26,Конец шпинделя бабки изделия по ГОСТ 17547-72,
27,"Цилиндрическое отверстие шпинделя бабки изделия, мм",
28,"Цена деления шкалы линейки/ нониуса установки расстояния от торца шпинделя до центра станка, мм",
29,Стол,
30,"Ход стола, мм",
31,"Наибольшее смещение стола от центрального положения, ±мм",
32,Счетчик циклов,
33,Автоматическая остановка станка,есть
34,Привод и электрооборудование станка,
35,"Количество электродвигателей, установленных на станке",
36,"Электродвигатель главного привода, кВт",
37,"Электродвигатель привода подач, кВт",
38,"Электродвигатель привода гидронасоса, кВт",
39,"Суммарная мощность электродвигателей, кВт",
40,Габаритные размеры и масса станка,
41,"Габаритные размеры станка (длина х ширина х высота), мм",
42,"Масса станка с электрооборудованием и охлаждением, кг",
