index,Наименование параметра,5Б63Г
0,Основные параметры станка,
1,"Наибольший диаметр обрабатываемой детали над станиной, мм",450
2,"Наибольшее расстояние между торцами шпинделей, мм",
3,"Наибольшая длина заготовки, устанавливаемой в центрах мм",710
4,"Наибольшая длина нарезаемой резьбы при работе охватывающей резьбовой фрезой, мм",30
5,"Наибольшая длина нарезаемой резьбы приработе гребенчатой резьбовой фрезой (по ГОСТ 1336-77), мм",50
6,"Наибольший шаг нарезаемой резьбы (винтовой канавки), мм",5
7,"Расстояние от от основания станка до оси шпинделя, мм",1060
8,Количество скоростей вращения шпинделя изделия,16
9,"Частота вращения шпинделя изделия, об/мин",0315..10
10,Количество скоростей вращения шпинделя фрезерной головки,10
11,"Частота вращения шпинделя фрезерной головки, об/мин",80..630
12,Фрезерный шпиндель: размер конического отверстия по ГОСТ 836-72,-
13,Фрезерный шпиндель: размер конического отверстия по ГОСТ 25557-82,Морзе 3
14,"Шпиндель бабки изделия: конец шпинделя по ГОСТ 12595-72, условный размер",6
15,"Диаметр отверстия в шпинделе бабки изделия, мм",70
16,"Наибольший крутящий момент шпинделя фрезерной головки, Н.м",120
17,"Наибольший продольный ход фрезерной каретки, мм",810
18,"Поперечный ход салазок фрезерной головки - механический, мм",2..5
19,"Поперечный ход салазок фрезерной головки - от руки, мм",122
20,"Скорость ускоренного продольного перемещения фрезерной каретки, м/мин",4
21,"Скорость продольного перемещения фрезерной каретки, м/мин",02
22,Привод и электрооборудование станка,
23,"Количество электродвигателей, установленных на станке",4
24,"Электродвигатель вращения фрезы (главный привод), кВт (об/мин)",22
25,"Электродвигатель вращения изделия, кВт (об/мин)",15
26,"Электродвигатель перемещения каретки, кВт (об/мин)",11
27,"Электродвигатель насоса охлаждения, кВт (об/мин)",015
28,"Суммарная мощность всех электродвигателей, кВт",496
29,Габаритные размеры и масса станка,
30,"Габаритные размеры станка (длина х ширина х высота), мм",2295 х 1085 х 1675
31,"Масса станка с электрооборудованием и охлаждением, кг",
