index,Наименование параметра,5К32
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса по стали, мм",10
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°), мм",800
3,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",500
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",350
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (60°), мм",120..250
6,"Наибольший диаметр червячных нарезаемых колес, мм",800
7,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",350
8,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",200
9,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",150
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (60°), мм",130
11,Наименьшее число нарезаемых зубьев,12
12,"Расстояние между осями стола и фрезы, мм",80..500
13,"Расстояние от плоскости стола до оси фрезы, мм",210..570
14,"Расстояние от оси шпинделя до направляющих суппорта, мм",319
15,Стол,
16,"Диаметр стола, мм",670
17,"Наибольшее перемещение стола, мм",500
18,"Конус в шпинделе стола, мм",
19,"Ускоренное перемещение стола, мм/мин",170
20,"Ручное перемещение стола за одно деление лимба, мм",05
21,"Ручное перемещение стола за один оборот лимба, мм",
22,Суппортная стойка,
23,"Наибольшее перемещение суппортной стойки, мм",-
24,"Быстрое перемещение суппортной стойки, мм/мин",-
25,"Перемещение стойки на одно деление лимба, мм",-
26,"Перемещение стойки на один оборот лимба, мм",-
27,Блокировка от перегрузки,-
28,Суппорт,
29,"Наибольшее перемещение суппорта, мм",360
30,"Ускоренное перемещение каретки суппорта, мм/мин",550
31,"Наибольший диаметр режущего инструмента - фрезы, мм",200
32,"Наименьшая длина режущего инструмента (фрезы), мм",200
33,"Диаметры фрезерных оправок, мм",32; 40
34,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",130
35,"Наибольший угол поворота суппорта, град",
36,"Наибольший угол наклона зубьев нарезаемого колеса, град",±60°
37,"Поворот суппорта на одно деление шкалы линейки, град",1°
38,"Поворот суппорта на одно деление шкалы нониуса, мин",1`
39,Конусное отверстие шпинделя,Морзе 5
40,"Наибольшее осевое перемещение фрезы, мм",80
41,Механика станка,
42,"Пределы оборотов фрезы, об/мин",5..310
43,Число ступеней оборотов фрезы,9
44,"Пределы вертикальных (продольных) подач фрезы, мм/об",08..50
45,"Пределы радиальных подач подвижной стойки, мм/об",03..17
46,"Пределы радиальных подач подвижного стола, мм/об",-
47,"Пределы тангенциальных (осевых) подач фрезы, мм/об",017..37
48,Число ступеней подач,7
49,Привод и электрооборудование станка,
50,"Электродвигатель главного привода, кВт (об/мин)",75
51,"Электродвигатель ускоренного хода суппорта, кВт (об/мин)",30
52,"Электродвигатель привода осевого движения фрезы, кВт (об/мин)",04
53,"Электродвигатель привода гидронасоса, кВт (об/мин)",11
54,"Электродвигатель насоса охлаждения, кВт (об/мин)",015
55,Габаритные размеры и масса станка,
56,"Габаритные размеры станка (длина х ширина х высота), мм",2550 х 1510 х 2000
57,"Масса станка с электрооборудованием и охлаждением, кг",7200
