index,Наименование параметра,5К32А
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса, мм",10
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°), мм",800
3,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",500
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",350
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (60°), мм",120...250
6,"Наибольший диаметр червячных нарезаемых колес, мм",800
7,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",350
8,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",200
9,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",150
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (60°), мм",130
11,Наименьшее число нарезаемых зубьев,12
12,Стол,
13,"Диаметр стола, мм",630
14,"Расстояние между осями стола и фрезы, мм",80...500
15,"Расстояние от плоскости стола и оси фрезы, мм",210...590
16,"Ускоренное перемещение стола, мм/мин",170
17,"Ручное перемещение стола за один оборот лимба, мм",05
18,Суппорт,
19,"Наибольшее перемещение суппорта, мм",380
20,"Ускоренное перемещение каретки суппорта, мм/мин",550
21,"Наибольший диаметр режущего инструмента, мм",200
22,"Наименьшая длина режущего инструмента, мм",200
23,"Диаметры фрезерных оправок, мм",32; 40
24,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",130
25,"Расстояние от оси шпинделя до направляющих суппорта, мм",319
26,"Скорость перемещения шпинделя вдоль оси, мм/мин",12
27,"Наибольший угол наклона зубьев нарезаемого колеса, град",±60
28,"Поворот суппорта на одно деление шкалы линейки, град",1°
29,"Поворот суппорта на одно деление шкалы нониуса, мин",1`
30,Конусное отверстие шпинделя,Морзе 5
31,"Наибольшее осевое перемещение фрезы, мм",80
32,Механика станка,
33,"Пределы оборотов фрезы, об/мин",50..310
34,Число ступеней оборотов фрезы,9
35,"Пределы продольных подач, мм/об",08...50
36,"Пределы радиальных подач, мм/об",027..167
37,"Пределы тангенциальных подач, мм/об",017...37
38,Число ступеней подач,7
39,"Наибольшее усилие, допускаемое механизмом продольной подачи, кгс",2000
40,Привод и электрооборудование станка,
41,"Количество электродвигателей на станке, кВт",
42,"Электродвигатель главного привода, кВт/ об/мин","7,5/ 1460"
43,"Электродвигатель осевого движения фрезы, кВт/ об/мин","0,4/ 1400"
44,"Электродвигатель ускоренных перемещений, кВт/ об/мин",3/ 1430
45,"Электродвигатель привода гидронасоса, кВт/ об/мин","1,1/ 930"
46,"Электродвигатель насоса охлаждения, кВт/ об/мин","0,15/ 2840"
47,Габаритные размеры и масса станка,
48,"Габаритные размеры станка (длина х ширина х высота), мм",2650 х 1510 х 2000
49,"Масса станка с электрооборудованием и охлаждением, кг",7400
