index,Наименование параметра,5С23П
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82 и ГОСТ 659-78,П
2,"Наибольший окружной модуль нарезаемого колеса, мм",05..25
3,"Наибольший средний нормальный модуль нарезаемого колеса, мм",2
4,"Внешнее конусное расстояние (длина образующей делительного конуса) обрабатываемых зубчатых колес, мм",
5,"Наибольшее среднее конусное расстояние обрабатываемых зубчатых колес с углом наклона средней линии зуба 30° приобработке зуборезной головкой Ø80 мм, мм",62
6,"Наибольший диаметр нарезаемых колес при передаточном отношении пары 10:1, мм",125
7,"Наибольший диаметр нарезаемых колес при передаточном отношении пары 2:1, мм",110
8,"Наибольший диаметр нарезаемых колес при передаточном отношении пары 1:1, мм",90
9,"Наибольшая длина зуба нарезаемого колеса (Наибольшая ширина зубчатого венца), мм",20
10,"Наибольшая внешняя высота нарезаемого зуба, мм",5
11,Наибольшее число нарезаемых зубьев,
12,Рекомендуемое число нарезаемых зубьев,5..100
13,"Наибольший угол установки суппортов, град",-
14,"Расстояние от торца шпинделя бабки изделия до центра полуавтомата, мм",
15,"Угол делительного конуса нарезаемых зубчатых колес (установочный угол бабки изделия), град",5°..85°
16,"Время цикла обработки одного зуба, с",7..10
17,"Угол наклона зуба обрабатываемых зубчатых колес, град",0°..45°
18,Люлька,
19,"Наибольший угол качания люльки от центрального положения вверх и вниз, град",60°
20,"Поворот люльки при наладке, град",
21,"Цена деления окружной шкалы поворота люльки при наладке, град",
22,Суппорты,
23,"Наибольший угол установки суппортов, град",-
24,"Поворот суппорта на одно деление шкалы линейки/ нониуса, мин",-
25,"Наибольший ход резца при любом угле установки суппортов, мм",-
26,"Необходимый выход резца из изделия с тонкого конца зуба, мм",-
27,"Необходимый выход резца из изделия с толстого конца зуба, мм",-
28,Тип зубострогальных резцов по ГОСТ 9392-75,
29,"Число двойных ходов резца в минуту, мин-1",-
30,"Скорость обкатки - время рабочего хода при нарезании одного зуба (бесступенчатое регулирование), с/зуб",7..50
31,"Угол наклона инструментального шпинделя, град",0°..15°
32,"Радиальная установка инструментального шпинделя относительно шпинделя оси люльки, град",0°..55°
33,"Частота вращения инструментального шпинделя (бесступенчатое регулирование), об/мин",110..550
34,Бабка изделия,
35,Конец шпинделя бабки изделия по ГОСТ 17547-72,Морзе 4
36,"Цилиндрическое отверстие шпинделя бабки изделия, мм",Ø20 х 200
37,"Цена деления шкалы линейки/ нониуса установки расстояния от торца шпинделя до центра станка, мм",
38,"Осевая установка бабки изделия, мм",30..160
39,"Наибольшее гипоидное смещение шпинделя изделия относительно нулевого положения вверх/ вниз, мм",30/ 30
40,Стол,
41,"Ход стола, мм",
42,"Наибольшее смещение стола от центрального положения, мм",
43,Счетчик циклов,
44,Автоматическая остановка станка,
45,Привод и электрооборудование станка,
46,"Количество электродвигателей, установленных на станке",4
47,"Электродвигатель главного привода, кВт",12
48,"Электродвигатель привода подач, кВт","1,5; 1,2"
49,"Электродвигатель привода гидронасоса, кВт",11
50,"Суммарная мощность электродвигателей, кВт",
51,Габаритные размеры и масса станка,
52,"Габаритные размеры станка (длина х ширина х высота), мм",1845 х 1335 х 1560
53,"Масса станка с электрооборудованием и охлаждением, кг",3200
