index,Наименование параметра,6441Б
0,Основные параметры станка,
1,"Размеры рабочей поверхности стола изделия, мм",630 х 1200
2,"Размеры обрабатываемой поверхности стола копира, мм",500 х 900
3,"Наибольшее вертикальное перемещение шпиндельной бабаки (Z), мм",500
4,"Наибольшее поперечное перемещение шпиндельной бабаки (Y), мм",350
5,"Наибольшее продольно перемещениее стола (X), мм",900
6,"Наибольшее установочное осевое перемещение гильзы со шпинделем, мм",125
7,"Пределы вертикальных (шпиндельной бабки) скоростей рабочих подач в при бесступенчатом изменении скорости подачи, мм/мин",25..315
8,"Пределы поперечных (шпиндельной бабки) скоростей рабочих подач в при бесступенчатом изменении скорости подачи, мм/мин",25..315
9,"Пределы горизонтальных (стола) скоростей рабочих подач в при бесступенчатом изменении скорости подачи, мм/мин",25..315
10,"Пределы периодических подач за одни ход, мм",015..8
11,"Частота вращения шпинделя, об/мин",63..3150
12,Количество скоростей шпинделя,18
13,Электрооборудование и привод станка,
14,Количество электродвигателей на станке,
15,"Электродвигатель привода главного движения, кВт","2,6/ 3"
16,"Электродвигатель подачи, кВт",037
17,Габаритные размеры и масса станка,
18,"Габаритные размеры (длина х ширина х высота), мм",
19,"Масса станка, кг",
