index,Наименование параметра,6520Ф3
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-77,Н
2,"Размеры поверхности стола, мм",250 х 630
3,"Расстояние от торца шпинделя до поверхности стола, мм",100..450
4,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",340
5,"Наибольшая масса обрабатываемой детали, кг",
6,Шпиндель. Бабка шпиндельная,
7,"Диаметр шпинделя по нижним подшипникам, мм",
8,"Вертикальное перемещение шпиндельной бабки, мм",350
9,"Вертикальное перемещение шпиндельной бабки но одно деление лимба, мм",005
10,"Вертикальное перемещение шпиндельной бабки но один оборот лимба, мм",10
11,"Частота вращения шпинделя, об/мин",315..1600
12,Количество скоростей шпинделя,18
13,Ход гильзы шпинделя,
14,"Скорость подачи бабки, мм/мин",5..1500
15,"Скорость установочного вертикального перемещения бабки, м/мин",5
16,"Наибольший крутящий момент на шпинделе, кгс*м",
17,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, кгс",
18,"Наибольший угол поворота шпиндельной бабки, град",нет
19,Конус отверстия шпинделя по ГОСТ 15945-70,7:24
20,Конец шпинделя,
21,Торможение шпинделя,есть
22,Зажим шпиндельной бабки,есть
23,Зажим инструмента,есть
24,Рабочий стол,
25,"Наибольшее перемещение стола в продольном направлении от руки и по программе, мм",500
26,"Цена деления лимба продольного перемещения, мм",005
27,"Один оборот лимба продольного перемещения, мм",10
28,"Наибольшее перемещение стола в поперечном направлении от руки и по программе, мм",250
29,"Цена деления лимба поперечного перемещения, мм",005
30,"Один оборот лимба поперечного перемещения, мм",10
31,"Пределы продольных подач стола (б/с регулирование)(X), мм/мин",5..1500
32,"Пределы поперечных подач стола (б/с регулирование) (Y), мм/мин",5..1500
33,"Скорость быстрых перемещений стола продольных и поперечных, м/мин",5
34,"Наибольшее усилие резания, допускаемое механизмом подачи стола, продольное, кгс",
35,"Наибольшее усилие резания, допускаемое механизмом подачи стола, поперечное, кгс",
36,Электрооборудование и привод станка,
37,Штатная система ЧПУ (1982 год),Н33-1М
38,Штатная гидростанция,6520Ф3-36.91.00.000
39,Количество электродвигателей на станке,8
40,"Электродвигатель привода главного движения, кВт",40
41,"Электродвигатель насоса гидростанции, кВт",30
42,"Электродвигатель шаговый приводов подач стола и бабки (X, Y, Z), кВт",
43,"Электродвигатель насоса смазки направляющих стола и салазок, кВт",0015
44,"Электродвигатель насоса смазки направляющих бабки и коробки скоростей, кВт",0015
45,"Электродвигатель насоса охлаждения, кВт",0125
46,Габаритные размеры и масса станка,
47,"Габаритные размеры (длина х ширина х высота), мм",1480 х 1890 х 2185
48,"Масса станка, кг",3700
