index,Наименование параметра,6720ВФ2
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,В
2,"Размеры горизонтального (углового) стола, мм",200 х 630
3,"Размеры вертикального (основного) стола, мм",200 х 500
4,"Максимальная масса обрабатываемой детали, кг",300
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..450
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",22..392
7,"Наибольший вылет оси вертикального шпинделя, мм",
8,"Наибольший продольный ход стола (X), мм",320
9,"Наибольший поперечный ход шпиндельной бабки (Y), мм",200
10,"Наибольший вертикальный ход стола (Z), мм",320
11,"Предельные размеры устанавливаемой заготовки на горизонтальном столе (д.ш.в), мм",700 х 200 х 300
12,"Цена деления лимбов, мм",
13,"Наибольший диаметр режущей части торцовой фрезы, мм",
14,"Наибольший диаметр режущей части сверла, мм",
15,"Дискретность задания перемещений, мм",
16,"Точность одностороннего позиционирования вертикального стола и шпиндельной бабки по осям X, Y, Z, мм",
17,"Количество управляемых осей координат/ одновременно управляемых, мм",
18,Горизонтальный и вертикальный шпиндели станка,
19,"Частота вращения горизонтального шпинделя, об/мин",40..2240
20,"Частота вращения вертикального шпинделя, об/мин",40..2240
21,Количество скоростей шпинделей,32
22,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, кНм",
23,"Наибольший допустимый крутящий момент на вертикальном шпинделе, кНм",
24,"Наибольшее осевое перемещение вертикального шпинделя, мм",
25,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
26,Конус горизонтального и вертикального шпинделей,Морзе 4
27,Стол,
28,"Пределы продольных и вертикальных подач стола (X, Z) и шпиндельной бабки (Y), мм/мин",10..1000
29,"Ускоренный ход стола, мм/мин",1200
30,Количество подач стола,б/с
31,"Наибольшее усилие подач стола, Н",
32,Шпиндельная бабка,
33,"Пределы подач шпиндельной бабки (Y), мм/мин",10..1000
34,Количество подач шпиндельной бабки,б/с
35,"Наибольшее усилие подач шпиндельной бабки, Н",
36,Электрооборудование и привод станка,
37,"Количество электродвигателей на станке, кВт",6
38,"Электродвигатель главного привода, кВт",15
39,"Электродвигатель привода подач стола, бабки, суппорта, кВт",055
40,"Электродвигатель зажима инструмента в вертикальном шпинделе, кВт",0024
41,"Электродвигатель зажима инструмента в горизонтальном шпинделе, кВт",0024
42,"Электродвигатель системы смазки, кВт",009
43,"Электродвигатель привода насоса охлаждения, кВт",012
44,"Суммарная мощность электродвигателей, кВт",2098
45,Габарит и масса станка,
46,"Габариты станка (длина х ширина х высота), мм",1530 х 1450 х 1800
47,"Масса станка, кг",1550
