index,Наименование параметра,675П
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры горизонтального (углового) стола, мм",200 х 630
3,"Размеры вертикального стола, мм",200 х 500
4,"Наибольшие размеры обрабатываемой с одной установки детали (длина х ширина х высота), кг",
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..380
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..300
7,"Наибольший вылет оси вертикального шпинделя, мм",130..330
8,"Наибольший продольный ход стола (X), мм",320
9,"Наибольший вертикальный ход стола (Z), мм",300
10,"Наибольший поперечный ход шпиндельной бабки (Y), мм",200
11,"Цена деления лимбов, мм",005
12,Горизонтальный и вертикальный шпиндели станка,
13,"Частота вращения горизонтального шпинделя, об/мин",50..1600
14,"Частота вращения вертикального шпинделя, об/мин",63..2000
15,Количество скоростей шпинделей,16
16,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",214
17,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",155
18,"Наибольшее осевое перемещение вертикального шпинделя, мм",60
19,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
20,Конус горизонтального и вертикального шпинделей,Морзе 4
21,Стол,
22,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин",125..400
23,"Ускоренный ход стола, мм/мин",935
24,Количество подач стола,16
25,"Наибольшее усилие подач стола, Н",5000
26,Шпиндельная бабка,
27,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин",125..400
28,Количество подач шпиндельной бабки,16
29,"Наибольшее усилие подач шпиндельной бабки, Н",5000
30,"Ускоренный ход шпиндельной бабки, мм/мин",
31,Электрооборудование и привод станка,
32,Количество электродвигателей на станке,
33,"Электродвигатель главного привода, кВт (об/мин)",15
34,"Электродвигатель привода подач, кВт (об/мин)",
35,"Электродвигатель привода насоса охлаждения, кВт",012
36,"Суммарная мощность электродвигателей, кВт",162
37,Габарит и масса станка,
38,"Габариты станка (длина х ширина х высота), мм",1110 х 1170 х 1650
39,"Масса станка, кг",1100
