index,Наименование параметра,692Д
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Наибольший диаметр устанавливаемой заготовки, мм",12..75
3,"Ширина обрабатываемого паза, мм",4..25
4,"Наибольшая глубина обрабатываемого паза при соблюдении требований ГОСТ 23360—78 (ГОСТ 7257-58, ГОСТ 8788-68), мм",9
5,"Наибольшая полная глубина обрабатываемого паза, мм",26
6,"Наибольший диаметр фрезы, устанавливаемой на станке, мм",25
7,"Продольное перемещение фрезерной головки, мм",5..400
8,"Наибольшее перемещение гильзы шпинделя от руки, мм",100
9,"Наибольшее перемещение гильзы шпинделя от гидропривода, мм",40
10,"Ускоренное перемещение перемещение гильзы шпинделя от гидропривода, мм",14
11,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 250
12,Число Т-образных пазов Размеры Т-образных пазов,3
13,"Размеры Т-образного среднего паза, мм",14Н8
14,"Размеры Т-образных крайних пазов, мм",14Н11
15,"Установочное продольное/ вертикальное/ поперечное перемещение стола вручную, мм",650/ 350
16,"Поперечное перемещение стола от гидропривода (Величина разбивки обрабатываемого паза при калибровке), мм",001..10
17,"Поперечное установочное перемещение оси шпинделя от среднего паза стола в обе стороны, мм",±5
18,"Внутренний конус шпинделя 7:24, по ГОСТ 24644—81 (ГОСТ 15945-70)",40
19,Число ступеней частот вращения шпинделя,11
20,"Частота вращения шпинделя, об/мин",400..4000
21,"Рабочие подачи фрезерной головки - продольная, мм/мин",20..1400
22,"Рабочие подачи фрезерной головки - вертикальная при однопроходном цикле, мм/мин",16..140
23,"Рабочие подачи гильзы шпинделя на врезание - при маятниковом цикле, мм/мин",005..05
24,"Скорость быстрого перемещения гильзы шпинделя (подвод, отвод), мм/мин",200
25,Привод,
26,Количество электродвигателей на станке,3
27,"Электродвигатель привода главного движения, кВт (об/мин)","2,2 (1500)"
28,"Электродвигатель насоса гидравлики, кВт (об/мин)","1,1 (1000)"
29,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)","0,12 (3000)"
30,"Суммарная мощность электродвигателей, кВт",342
31,Габарит и масса станка,
32,"Габариты станка (длина ширина высота), мм",1615 х 1600 х 2210
33,"Масса станка, кг",2250
