index,Наименование параметра,6А12П
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,
2,"Размеры поверхности стола, мм",1250 х 320
3,"Наибольшая масса обрабатываемой детали, кг",
4,"Расстояние от торца шпинделя до стола, мм",435
5,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",320
6,Рабочий стол,
7,"Наибольший продольный ход стола от руки (по оси X), мм",760
8,"Наибольший поперечный ход стола от руки (по оси Y), мм",260
9,"Наибольший вертикальный ход стола от руки (по оси Z), мм",400
10,"Перемещение стола на одно деление лимба в продольном и поперечном направлении, мм",005
11,"Перемещение стола на одно деление лимба в вертикальном направлении, мм",002
12,"Перемещение стола на один оборот лимба в продольном и поперечном направлении, мм",5
13,"Перемещение стола на один оборот лимба в вертикальном направлении, мм",2
14,"Пределы продольных подач стола (X), мм/мин",20..1000
15,"Пределы поперечных подач стола (Y), мм/мин",20..1000
16,"Пределы вертикальных подач стола (Z), мм/мин",8..400
17,Количество подач продольных/ поперечных/ вертикальных,18
18,"Скорость быстрых продольных перемещений стола (по оси X), м/мин",25
19,"Скорость быстрых поперечных перемещений стола (по оси Y), м/мин",25
20,"Скорость быстрых вертикальных перемещений стола (по оси Z), м/мин",1
21,"Замедленная подача, мм/мин",20/20/8
22,Шпиндель,
23,"Частота вращения шпинделя, об/мин",40..2000
24,Количество скоростей шпинделя,
25,"Перемещение пиноли шпинделя, мм",50
26,Конус фрезерного шпинделя,№3
27,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",ГОСТ 836-62
28,"Отверстие фрезерного шпинделя, мм",27
29,"Поворот шпиндельной головки вправо и влево, град",±45°
30,Механика станка,
31,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
32,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
33,Блокировка раздельного включения подач,Есть
34,Торможение шпинделя,Есть
35,Предохранительная муфта от перегрузок,
36,Автоматическая прерывистая подача,
37,"Электрооборудование, привод",
38,Количество электродвигателей на станке,
39,"Электродвигатель привода главного движения, кВт (об/мин)","5,5 (1400)"
40,"Электродвигатель привода подач, кВт (об/мин)","1,1 (1400)"
41,"Электродвигатель зажима инструмента, кВт (об/мин)",-
42,"Электродвигатель насоса механизма опускания и подъема консоли, кВт (об/мин)","0,12 (1400)"
43,"Электродвигатель насоса механизма выбора люфта, кВт (об/мин)","0,12 (1400)"
44,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",012
45,"Суммарная мощность всех электродвигателей, кВт",
46,Габарит и масса станка,
47,"Габариты станка (длина ширина высота), мм",1765 х 2375 х 1950
48,"Масса станка, кг",2500
