index,Наименование параметра,6Д82Ш
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности стола (длина х ширина), мм",320 х 1250
3,"Расстояние от оси горизонтального шпинделя до стола при ручном перемещении, мм",50..450
4,"Расстояние от оси горизонтального шпинделя до хобота, мм",138
5,"Расстояние от торца горизонтального шпинделя до торца поддержки, мм",440
6,"Расстояние от торца шпинделя поворотной головки до стола, мм",155..555
7,"Расстояние от оси шпинделя поворотной головки до направляющих станины (вылет), мм",125..810
8,Рабочий стол,
9,"Максимальная нагрузка на стол (по центру), кг",
10,Число Т-образных пазов Размеры Т-образных пазов,3
11,"Наибольшее продольное перемещение стола (ось X), мм",950
12,"Наибольшее поперечное перемещение стола механическое (ось Y), мм",320
13,"Наибольшее вертикальное перемещение стола (ось Z), мм",400
14,"Перемещение стола на одно деление лимба (продольное, поперечное), мм",005
15,"Перемещение стола на одно деление лимба (вертикальное), мм",005
16,"Наибольший угол поворота стола, град",±45
17,"Цена деления шкалы поворота стола, град",1
18,"Скорость быстрого продольного перемещения стола (ось X), м/мин",
19,"Скорость быстрого поперечного перемещения стола (ось Y), м/мин",
20,"Скорость быстрого вертикального перемещения стола (ось Z), м/мин",
21,Число ступеней рабочих подач стола,
22,"Пределы продольных рабочих подач стола, мм/мин",
23,"Пределы поперечных рабочих подач стола, мм/мин",
24,"Пределы вертикальных рабочих подач стола, мм/мин",
25,Горизонтальный шпиндель,
26,"Частота вращения горизонтального шпинделя, об/мин",
27,Количество скоростей горизонтального шпинделя,
28,Внутренний конус горизонтального шпинделя по ГОСТ 24644-81,50
29,"Наибольший крутящий момент на горизонтальном шпинделе, кН*м",
30,"Наибольший допустимый диаметр фрез, мм",
31,Торможение шпинделя,есть
32,Предохранение шпинделя от перегрузки (муфта),есть
33,Шпиндель поворотной головки,
34,"Частота вращения шпинделя поворотной и накладной головок, об/мин",
35,Количество скоростей шпинделя поворотной и накладной головок,
36,"Наибольшее перемещение гильзы вертикального шпинделя, мм",80
37,"Угол поворота оси вертикального шпинделя в продольной плоскости, град",±45
38,"Угол поворота оси вертикального шпинделя в поперечной плоскости от станины, град",90
39,"Угол поворота оси вертикального шпинделя в поперечной плоскости к станине, град",45
40,Внутренний конус шпинделя поворотной и накладной головок по ГОСТ 24644-81,40
41,"Наибольший крутящий момент на поворотном шпинделе, кН*м",
42,"Наибольший допустимый диаметр фрез, мм",
43,Механика станка,
44,Выключающие упоры продольных подач,есть
45,"Выключающие упоры поперечных, вертикальных подач",есть
46,Блокировка раздельного включения подачи,есть
47,Электрооборудование. Привод,
48,Питающая электросеть,"380 В, 50 Гц"
49,"Напряжение местного освещения, В",~24
50,"Напряжение цепи управления, В","~110, =24"
51,Количество электродвигателей на станке,5
52,"Электродвигатель привода горизонтального шпинделя, кВт",55
53,"Электродвигатель привода шпинделя поворотной головки, кВт",22
54,"Электродвигатель привода подач, кВт",22
55,"Электродвигатель насоса охлаждающей жидкости, кВт",012
56,"Электродвигатель механизма зажима инструмента, кВт",025
57,"Суммарная мощность электродвигателей, кВт",1027
58,Габариты и масса станка,
59,"Габариты станка (длина ширина высота), мм",2275 х 2200 х 2115
60,"Масса станка, кг",3250
