index,Наименование параметра,6К82Ш
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности стола (длина х ширина), мм",320 х 1250
3,"Расстояние от оси горизонтального шпинделя до стола при ручном перемещении, мм",50..440
4,"Расстояние от оси горизонтального шпинделя до хобота, мм",155
5,"Расстояние от торца шпинделя поворотной головки до стола, мм",155..545
6,"Расстояние от оси шпинделя поворотной головки до направляющих станины (вылет), мм",125..760
7,Рабочий стол,
8,"Максимальная нагрузка на стол (по центру), кг",
9,Число Т-образных пазов Размеры Т-образных пазов,3
10,"Наибольшее продольное перемещение стола (ось X), мм",850
11,"Наибольшее поперечное перемещение стола механическое (ось Y), мм",250
12,"Наибольшее вертикальное перемещение стола (ось Z), мм",400
13,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",
14,"Скорость быстрого продольного и поперечного хода стола, мм/мин",2900
15,"Скорость быстрого продольного и поперечного хода стола, мм/мин",2300
16,"Скорость быстрого вертикального хода стола, мм/мин",1150
17,Число ступеней рабочих подач стола,16
18,"Пределы продольных рабочих подач стола, мм/мин",35..1020
19,"Пределы поперечных рабочих подач стола, мм/мин",27..790
20,"Пределы вертикальных рабочих подач стола, мм/мин",9..264
21,Горизонтальный шпиндель,
22,"Частота вращения горизонтального шпинделя, об/мин",16..1600
23,Количество скоростей горизонтального шпинделя,
24,Внутренний конус горизонтального шпинделя.,ISO 50
25,Шпиндель вертикальной головки,
26,"Частота вращения шпинделя вертикальной головки, об/мин",315..1400
27,Количество скоростей шпинделя вертикальной головки,
28,"Наибольшее перемещение гильзы вертикального шпинделя, мм",80
29,Внутренний конус шпинделя вертикальной головки.,ISO 40
30,Торможение шпинделя,есть
31,Предохранение шпинделя от перегрузки (муфта),есть
32,Привод,
33,Количество электродвигателей на станке,4
34,"Электродвигатель привода горизонтального шпинделя, кВт",55
35,"Электродвигатель привода шпинделя поворотной головки, кВт",22
36,"Электродвигатель привода подач, кВт",15
37,"Электродвигатель насоса охлаждающей жидкости, кВт",012
38,Габариты и масса станка,
39,"Габариты станка (длина ширина высота), мм",2135 х 1725 х 2015
40,"Масса станка, кг",2650
