index,Наименование параметра,6Н12
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры поверхности стола, мм",1250 х 320
3,"Наибольшая масса обрабатываемой детали, кг",
4,"Расстояние от торца шпинделя до стола, мм",30..400
5,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",350
6,Рабочий стол,
7,"Наибольший продольный ход стола от руки (по оси X), мм",700
8,"Наибольший поперечный ход стола от руки (по оси Y), мм",240/ 260
9,"Наибольший вертикальный ход стола от руки (по оси Z), мм",370
10,"Перемещение стола на одно деление лимба в продольном и поперечном направлении, мм",
11,"Перемещение стола на одно деление лимба в вертикальном направлении, мм",
12,"Перемещение стола на один оборот лимба в продольном и поперечном направлении, мм",
13,"Перемещение стола на один оборот лимба в вертикальном направлении, мм",
14,"Пределы продольных подач стола (X), мм/мин",40..2000
15,"Пределы поперечных подач стола (Y), мм/мин",27..1330
16,"Пределы вертикальных подач стола (Z), мм/мин",13..665
17,Количество подач продольных/ поперечных/ вертикальных,18
18,"Скорость быстрых продольных перемещений стола (по оси X), м/мин",4
19,"Скорость быстрых поперечных перемещений стола (по оси Y), м/мин",4
20,"Скорость быстрых вертикальных перемещений стола (по оси Z), м/мин",1
21,"Замедленная подача, мм/мин",-
22,Шпиндель,
23,"Частота вращения шпинделя, об/мин",63..3150
24,Количество скоростей шпинделя,18
25,"Перемещение пиноли шпинделя, мм",70
26,Конус фрезерного шпинделя,№3
27,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",
28,"Отверстие фрезерного шпинделя, мм",29
29,"Поворот шпиндельной головки вправо и влево, град",±45°
30,Механика станка,
31,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
32,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
33,Блокировка раздельного включения подач,Есть
34,Торможение шпинделя,Есть
35,Предохранительная муфта от перегрузок,Есть
36,Автоматическая прерывистая подача,Есть
37,"Электрооборудование, привод",
38,Количество электродвигателей на станке,3
39,"Электродвигатель привода главного движения, кВт (об/мин)",7
40,"Электродвигатель привода подач, кВт (об/мин)",17
41,"Электродвигатель зажима инструмента, кВт (об/мин)",-
42,"Электродвигатель насоса механизма опускания и подъема консоли, кВт (об/мин)",-
43,"Электродвигатель насоса механизма выбора люфта, кВт (об/мин)",-
44,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",012
45,"Суммарная мощность всех электродвигателей, кВт",
46,Габарит и масса станка,
47,"Габариты станка (длина ширина высота), мм",1745 х 2260 х 2000
48,"Масса станка, кг",3000
