index,Наименование параметра,6Н82Г
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",320 х 1250
3,"Наименьшее и наибольшее расстояние от оси шпинделя до стола, мм* При ручном перемещении и снятом нижнем ограничительном кулачке",30..400
4,"Расстояние от оси шпинделя до хобота, мм",155
5,"Максимальная нагрузка на стол (по центру), кг",
6,Рабочий стол,
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее перемещение стола продольное от руки/ от двигателя (ось X), мм",700
9,"Наибольшее перемещение стола поперечное от руки/ от двигателя (ось Y), мм",250
10,"Наибольшее перемещение стола вертикальное от руки/ от двигателя (ось Z), мм",450
11,"Наибольший угол поворота стола, град",нет
12,"Цена одного деления шкалы поворота стола, град",нет
13,"Перемещение стола на одно деление лимба (продольное - ось X, поперечное - ось Y), мм",005
14,"Перемещение стола на одно деление лимба (вертикальное - ось Z), мм",005
15,"Перемещение стола на один оборот лимба продольное и поперечное, мм",
16,"Перемещение стола на один оборот лимба вертикальное, мм",
17,Шпиндель,
18,"Частота вращения шпинделя, об/мин",
19,Количество скоростей шпинделя,18
20,Эскиз конца шпинделя,
21,Конус шпинделя,
22,Наибольший допустимый крутящий момент на шпинделе Нм,
23,Механика станка,
24,"Быстрый ход стола продольный (ось X), м/мин",
25,"Быстрый ход стола поперечный (ось Y), м/мин",
26,"Быстрый ход стола вертикальный (ось Z), м/мин",
27,Число ступеней рабочих подач стола,18
28,"Пределы рабочих подач. Продольных (ось X), мм/мин",
29,"Пределы рабочих подач. Поперечных (ось Y), мм/мин",
30,"Пределы рабочих подач. Вертикальных (ось Z), мм/мин",
31,"Наибольшее усилие резания при продольной/ поперечной/ вертикальной подаче, кН",
32,Выключающие упоры подачи продольной,
33,"Выключающие упоры подачи поперечной, вертикальной",
34,Блокировка ручной и механической подачи (продольной),
35,"Блокировка ручной и механической подачи (поперечной, вертикальной)",
36,Автоматическая прерывистая подача Поперечная и вертикальная,нет
37,Торможение шпинделя (муфта),
38,Предохранение от перегрузки (муфта),
39,Привод,
40,"Электродвигатель привода главного движения, кВт",7
41,"Электродвигатель привода подач, кВт",17
42,"Электродвигатель зажима инструмента, кВт/ об/мин",нет
43,Электронасос охлаждающей жидкости Тип,
44,"Электродвигатель насоса охлаждающей жидкости, кВт",
45,"Производительность насоса СОЖ, л/мин",
46,Габарит и масса станка,
47,"Габариты станка (длина ширина высота), мм",
48,"Масса станка, кг",
