index,Наименование параметра,6Р13РФ3
0,Класс точности по ГОСТ 8-82,Н
1,Основные параметры станка,
2,"Размеры рабочей поверхности стола (длина х ширина), мм",400 х 1600
3,"Максимальная нагрузка на стол (по центру), кг",300
4,Число Т-образных пазов Размеры Т-образных пазов,3
5,"Наибольшее продольное перемещение стола (X), мм",1000
6,"Наибольшее поперечное перемещение стола (Y), мм",400
7,"Наибольшее вертикальное установочное перемещение стола, мм",380
8,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",500
9,"Наименьшее расстояние от задней кромки стола до направляющих станины, мм",100
10,"Расстояние от торца шпинделя до рабочей поверхности стола, мм",70..450
11,"Наибольшее вертикальное перемещение ползуна (Z), мм",-
12,"Пределы рабочих подач. Продольных, поперечных, вертикальных, мм/мин",20..1200
13,"Скорость быстрого перемещения стола и ползуна, мм/мин",2400
14,Наименьшее и наибольшее расстояние от торца шпинделя до стола мм,70...450
15,"Подача за один импульс, мм",001
16,"Точность позиционирования по оси X, мм",
17,"Точность позиционирования по оси Y, Z, мм",
18,"Наибольший диаметр сверления, мм",
19,"Наибольший диаметр концевой фрезы, мм",
20,"Наибольший диаметр торцевой фрезы, мм",
21,Шпиндель,
22,Количество шпинделей,6
23,"Частота вращения шпинделя, об/мин",40...2000
24,Количество скоростей шпинделя,18
25,"Наибольший крутящий момент, кгс.м",
26,Конец шпинделя,
27,Система ЧПУ,
28,Тип ЧПУ,Н33-1М
29,Способ задания размеров,В приращениях
30,Виды интерполяции,Линейная Круговая
31,Число одновременно управляемых координат при линейной / при круговой интерполяции,3/2
32,Электрооборудование,
33,Количество электродвигателей на станке,
34,"Электродвигатель привода главного движения, кВт (об/мин)",75
35,"Электроприводы подачи по осям X, Y, Z, кВт",Шаговый
36,"Электропривод наладочного перемещения консоли, кВт",
37,"Электропривод зажима инструмента, кВт",-
38,"Электропривод насоса охлаждения, кВт",
39,"Электродвигатель насоса дсмазки, кВт",
40,"Суммарная мощность электродвигателей, кВт",
41,Габарит станка,
42,"Габариты станка, мм",3200 х 2500 х 2450
43,"Масса станка, кг",6900
