index,Наименование параметра,6С12
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",1250 х 320
2,"Наибольшая масса обрабатываемой детали, кг",
3,"Расстояние от торца шпинделя до стола, мм",460
4,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",400
5,Рабочий стол,
6,"Наибольший продольный ход стола (X), мм",950
7,"Наибольший поперечный ход стола (Y), мм",300
8,"Наибольший вертикальный ход стола (Z), мм",410
9,"Перемещение стола на одно деление лимба продольное (X), поперечное (Y), мм",005
10,"Перемещение стола на одно деление лимба вертикальное (Z), мм",001
11,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",20..2500
12,"Пределы вертикальных подач стола (Z), мм/мин",8..400
13,Количество подач продольных/ поперечных/ вертикальных,18
14,"Скорость быстрых перемещений продольных (X), поперечных (Y), м/мин",25
15,"Скорость быстрых перемещений вертикальных (Z), м/мин",1
16,"Усилие, допускаемое механизмом подач для продольной подачи (X), кг",1400
17,"Усилие, допускаемое механизмом подач для поперечной подачи (Y), кг",410
18,"Усилие, допускаемое механизмом подач для вертикальной подачи (Z), кг",740
19,Шпиндель,
20,"Частота вращения шпинделя, об/мин",315..1600
21,Количество скоростей шпинделя,18
22,"Перемещение пиноли шпинделя, мм",80
23,Конус фрезерного шпинделя,50 ГОСТ 15945-70
24,Конец шпинделя,
25,"Поворот шпиндельной головки вправо и влево, град",±45
26,Механика станка,
27,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
28,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
29,Блокировка раздельного включения подач,Есть
30,Торможение шпинделя,Есть
31,Предохранительная муфта от перегрузок,Есть
32,Автоматическая прерывистая подача,Есть
33,"Электрооборудование, привод",
34,Количество электродвигателей на станке,4
35,"Электродвигатель привода главного движения, кВт",55
36,"Электродвигатель привода подач, кВт",15
37,"Электродвигатель насоса механизма выбора люфта, кВт",008
38,"Электродвигатель зажима инструмента, кВт",-
39,"Электродвигатель насоса охлаждающей жидкости, кВт",0125
40,"Суммарная мощность всех электродвигателей, кВт",
41,Габарит и масса станка,
42,"Габариты станка (длина ширина высота), мм",2000 х 2230 х 2030
43,"Масса станка, кг",3000
