index,Наименование параметра,6Т13
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры поверхности стола, мм",400 х 1600
3,"Наибольшая масса обрабатываемой детали, кг",630
4,"Расстояние от торца шпинделя до стола, мм",70..500
5,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",460
6,Рабочий стол,
7,"Наибольший продольный ход стола от руки (по оси X), мм",1000
8,"Наибольший поперечный ход стола от руки (по оси Y), мм",400
9,"Наибольший вертикальный ход стола от руки (по оси Z), мм",430
10,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",
11,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",
12,"Пределы продольных подач стола (X), мм/мин",125..1600
13,"Пределы поперечных подач стола (Y), мм/мин",125..1600
14,"Пределы вертикальных подач стола (Z), мм/мин",41..530
15,Количество подач продольных/ поперечных/ вертикальных,22
16,"Скорость быстрых продольных перемещений стола (по оси X), м/мин",4
17,"Скорость быстрых поперечных перемещений стола (по оси Y), м/мин",4
18,"Скорость быстрых вертикальных перемещений стола (по оси Z), м/мин",133
19,Шпиндель,
20,"Частота вращения шпинделя, об/мин",315..1600
21,Количество скоростей шпинделя,18
22,"Перемещение пиноли шпинделя, мм",80
23,"Перемещение пиноли шпинделя на одно деление лимба, мм",005
24,Конус фрезерного шпинделя,
25,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",
26,"Отверстие фрезерного шпинделя, мм",
27,"Диаметр оправок, мм",
28,"Диаметр переднего подшипника, мм",
29,"Поворот шпиндельной головки вправо и влево, град",±45
30,Механика станка,
31,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
32,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
33,Блокировка раздельного включения подач,Есть
34,Торможение шпинделя,Есть
35,Предохранительная муфта от перегрузок,Есть
36,Автоматическая прерывистая подача,Есть
37,"Электрооборудование, привод",
38,Количество электродвигателей на станке,4
39,"Электродвигатель привода главного движения, кВт",11
40,"Электродвигатель привода подач, кВт",30
41,"Электродвигатель зажима инструмента, кВт",025
42,"Электродвигатель насоса охлаждающей жидкости, кВт",012
43,"Суммарная мощность всех электродвигателей, кВт",1437
44,Габарит и масса станка,
45,"Габариты станка (длина ширина высота), мм",2570 х 2252 х 2430
46,"Масса станка, кг",4300
