index,Наименование параметра,6Т13Ф20
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",1600 х 400
2,"Наибольшая масса обрабатываемой детали, кг",630
3,"Наибольший продольный (X), поперечный (Y), вертикальный ход (Z) стола, мм","1000, 340, 430"
4,"Расстояние от торца шпинделя до поверхности стола, мм",70..500
5,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",420
6,"Наибольший диаметр фрезы при черновой обработке, мм",200
7,"Наибольший диаметр сверла, мм",30
8,Шпиндель,
9,"Мощность привода главного движения, кВт",11
10,"Частота вращения шпинделя, об/мин",315..1600
11,Количество скоростей шпинделя,18
12,"Перемещение пиноли (гильзы) шпинделя, мм",80
13,"Перемещение пиноли шпинделя на одно деление лимба, мм",005
14,"Перемещение пиноли шпинделя на один оборот лимба, мм",4
15,"Угол поворота шпиндельной головки, град",±45°
16,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",50
17,Рабочий стол. Подачи,
18,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",
19,"Пределы вертикальных подач стола (Z), мм/мин",
20,"Количество подач стола (продольных, поперечных, вертикальных)",22
21,"Скорость быстрых перемещений (продольных (X)/ поперечных (Y)/ вертикальных (Z)), м/мин","4/ 4/ 1,330"
22,"Перемещение стола на одно деление лимба (продольное (X), поперечное (Y), вертикальное (Z)), мм",005
23,"Перемещение стола на один оборот лимба (продольное (X)/ поперечное (Y)/ вертикальное (Z)), мм",6/ 6/ 2
24,"Наибольшее допустимое усилие резания (продольное (X)/ поперечное (Y)/ вертикальное (Z)), кН",20/ 12/ 8
25,Механика станка,
26,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
27,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
28,Блокировка раздельного включения подач,Есть
29,Торможение шпинделя,Есть
30,Предохранительная муфта от перегрузок,Есть
31,Автоматическая прерывистая подача,Есть
32,"Система УЦИУ, (ОПУ) К-524",
33,Количество управляемых/ одновременно управляемых координат,3/ 1
34,Число записываемых кадров,98
35,"Дискретность, мм",0005
36,"Масса, кг",15
37,Система ОПУ ЛЮМО-61,
38,Количество управляемых/ одновременно управляемых координат,3/ 1
39,Число записываемых кадров,99
40,"Дискретность, мм",0010
41,"Масса, кг",
42,Электрооборудование и приводы станка,
43,Количество электродвигателей на станке,6
44,"Электродвигатель главного движения, кВт",11
45,"Электродвигатель привода подач, Н*м",47
46,"Электродвигатель привода гидростанции, кВт",3
47,"Электродвигатель зажима инструмента, кВт",025
48,"Электродвигатель насоса СОЖ, кВт",012
49,"Электродвигатель насоса смазки, кВт",025
50,"Суммарная мощность всех электродвигателей, кВт",1155
51,Габариты и масса станка,
52,"Габариты станка (длина ширина высота), мм",2570 2252 2430
53,"Масса станка, кг",4300
