index,Наименование параметра,6Т83Ш
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1600 х 400
3,"Наименьшее и наибольшее расстояние от оси горизонтального шпинделя до стола, мм",30..450
4,"Расстояние от оси горизонтального шпинделя до хобота, мм",190
5,"Расстояние от торца шпинделя поворотной головки до стола, мм",160..580
6,"Расстояние от оси шпинделя поворотной головки до направляющих станины (вылет), мм",260..900
7,Рабочий стол,
8,"Наибольшее перемещение стола продольное/ поперечное/ вертикальное, мм",1120/ 400/ 420
9,"Максимальная нагрузка на стол (по центру), кг",630
10,Число Т-образных пазов Размеры Т-образных пазов,3
11,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
12,"Перемещение стола на один оборот лимба продольное и поперечное, мм",6
13,"Перемещение стола на один оборот лимба вертикальное, мм",2
14,"Быстрый ход стола продольный/ поперечный/ вертикальный, м/мин","4/ 4/ 1,3"
15,Число ступеней рабочих подач стола,22
16,"Пределы рабочих подач стола. Продольных и поперечных, мм/мин",125...1600
17,"Пределы рабочих подач стола. Вертикальных, мм/мин",41...530
18,"Усилие резания продольной, поперечной, вертикальной подач, Н","20,0/ 12,0/ 8,0"
19,Шпиндель,
20,"Частота вращения шпинделя поворотной и накладной головок, об/мин",50..1600
21,Количество скоростей шпинделя,11
22,"Частота вращения горизонтального шпинделя, об/мин",315..1600
23,Количество скоростей горизонтального шпинделя,18
24,"Перемещение пиноли (гильзы) шпинделя, мм",80
25,"Перемещение пиноли шпинделя на одно деление лимба, мм",01
26,"Перемещение пиноли шпинделя на один оборот лимба, мм",6
27,"Поворот головки шпинделя к станине/ от станины, град",90
28,"Поворот головки шпинделя в продольной плоскости, град",360
29,"Поворот накладной головки шпинделя в продольной плоскости, град",360
30,"Наибольший крутящий момент на горизонтальном шпинделе, кН.м",146
31,Конец горизонтального шпинделя по ГОСТ 24644-81 (конус по ГОСТ 15945-82),"50 ряд4, исп.6"
32,Эскиз конца шпинделя поворотной и накладной головки по ГОСТ 24644-81,"40 ряд 3, исп.5"
33,"Допустимый диаметр фрез при черновой обработке. Горизонтальный/ вертикальный шпиндель, мм",
34,Механика станка,
35,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
36,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
37,Блокировка раздельного включения подачи,есть
38,Автоматическая прерывистая подача Продольная,есть
39,Автоматическая прерывистая подача Поперечная и вертикальная,нет
40,Торможение шпинделя,есть
41,Предохранение от перегрузки (муфта),есть
42,Привод и электрооборудование,
43,Количество электродвигателей на станке,5
44,"Электродвигатель привода главного движения М1, кВт",11
45,"Электродвигатель привода шпинделя поворотной головки М2, кВт",30
46,"Электродвигатель насоса охлаждающей жидкости М3, кВт",0125
47,"Электродвигатель привода подач стола М4, кВт",30
48,"Электродвигатель привода зажима инструмента, кВт",018
49,"Суммарная мощность всех электродвигателей на станке, кВт",173
50,Габариты и масса станка,
51,"Габариты станка (длина х ширина х высота), мм",2570 х 2252 х 2040
52,"Масса станка, кг",4370
