index,Наименование параметра,8535
0,Основные параметры станка,
1,"Наибольшие размеры сечения круглой заготовки, мм",20..350
2,"Наибольшие размеры сечения квадратной заготовки, мм",350
3,"Наибольшие размеры сечения прямоугольной заготовки, мм",350х500
4,"Скорость движения пилы (б/с регулирование), м/мин",20..100
5,"Размеры сечения биметаллической ленточной пилы, мм","34х1,1"
6,"Длина ленточной пилы, мм",4260
7,Режим работы электросхемы,ручной/ автомат
8,Электрооборудование станка,
9,"Электродвигатель главного привода, кВт (об/мин)",3 (1500)
10,"Электродвигатель гидронасоса (входит в состав насосной станции РГ), кВт (об/мин)","1,1 (1500)"
11,"Электродвигатель насоса охлаждения, кВт (об/мин)",02
12,Габарит и масса пресс-ножниц,
13,"Габарит станка (длна х ширина х высота), мм",2300 х 1390 х 1800
14,"Масса станка, кг",1500
