index,Наименование параметра,DMC 635 V
0,Рамер рабочей зоны станка,
1,"Размер рабочей зоны станка (ход по осям (X / Y / Z), мм",635 / 510 / 460
2,"Расстояние от торца шпинделя до стола, мм",120..580
3,"Поверхность рабочего стола (Поверхность зажима с Т-образными пазами), мм",790 × 560
4,"Высота загрузки стола, мм",720
5,"Нагрузка стола (суммарный вес), кг",600
6,Рабочий шпиндель,
7,"Главный привод - асинхронный дигатель, установленный непосредственно на шпинделе",·
8,"Диапазон скорости вращения, об/мин",20..8000
9,"Мощность привода (40/100 % ED), кВт",13 / 9
10,"Крутящий момент (40/100 % ED), Нм",83 / 57
11,Инструментальный конус шпинделя,ISO40/SK40 DIN69871
12,Подачи,
13,"Приводы подач - асинхронный дигатель, соединенный непосредственно с ШВП",·
14,Скорость подачи м/мин,0..24
15,"Ускоренный ход по осям (X, Y, Z), м/мин",30
16,"Усилие подачи, макс., кН",5
17,"Тип направляющих по осям (X, Y, Z)",Ролик
18,Точность позиционирования,
19,"Точность позиционирования согласно ISO 230-2 (системы непрямого/прямого измерения перемещений) по осям (X, Y, Z), км","0,016 / 0,006"
20,"P макс. JIS B6330-1980 (системы непрямого/прямого измерения перемещений), мм","0,008 / 0,004"
21,Инструментальный магазин. Устройство смены инструмента,
22,Число инструментов в магазине,20 SK40
23,"Вес инструментов, макс., кг",6
24,"Длина инструмента, макс., мм",300
25,"Диаметр инструмента, макс., мм",Ø 80
26,"Диаметр инструмента при свободных соседних местах, макс., мм",Ø 130
27,"Время смены инструмента, с",16
28,"Среднее время от стружки до стружки (для инструментов диаметром менее Ø 80 мм), с",5
29,Потребляемая станком мощность,
30,"Потребляемая мощность при 100 % длительности включения, кВА",17
31,"Входной предохранитель, макс., A",35
32,"In макс. при 100 % длительности включения, А",28
33,Системы управления,
34,Системы управления,"15"" DMG MORI SLIMline® с Operate на SIEMENS"
35,Габариты и масса станка,
36,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",5500 × 4500 × 2742
37,"Масса станка с транспортером стружки, кг",3850
