index,Наименование параметра,DMU 50
0,Рамер рабочей зоны станка,
1,"Размер рабочей зоны станка (ход по осям (X / Y / Z), мм",500 / 450 / 400
2,"Расстояние от торца шпинделя до стола, мм",
3,"Поверхность рабочего стола (Поверхность зажима с Т-образными пазами), мм",Ø 630 × 500
4,"Высота загрузки стола, мм",790
5,"Нагрузка стола (суммарный вес), кг",200
6,Рабочий шпиндель,
7,"Диапазон скорости вращения, об/мин",0..12000
8,"Мощность привода (40/100 % ED), кВт",13/9
9,"Крутящий момент (40/100 % ED), Нм",83/57
10,Инструментальный конус шпинделя,
11,Подачи,
12,Скорость подачи м/мин,0..24
13,"Ускоренный ход по осям (X, Y, Z), м/мин",24
14,"Усилие подачи, макс., кН",45
15,Точность позиционирования,
16,"Точность позиционирования согласно ISO 230-2 (системы непрямого/прямого измерения перемещений) по осям (X, Y, Z), км","0,016/0,006"
17,"Точность позиционирования согласно ISO 230-2 (системы непрямого/прямого измерения перемещений) по осям (B, C), с",16`
18,"P макс. JIS B6330-1980 (системы непрямого/прямого измерения перемещений), мм","0,008/0,004"
19,Оси B- / C-,
20,"Диапазон наклона оси B, град",-5° / +110°
21,"Диапазон вращения оси C, град",360°
22,"Ускоренный ход оси B, C, град/мин",2160
23,"Зажим оси B, C, град",Гидравл
24,Инструментальный магазин. Устройство смены инструмента,
25,Число инструментов в магазине,16/ 32
26,"Вес инструментов, макс., кг",6
27,"Длина инструмента, макс., мм",300
28,"Диаметр инструмента, макс., мм",Ø 80
29,"Диаметр инструмента при свободных соседних местах, макс., мм",Ø 130
30,"Время смены инструмента, с",12/15
31,"Среднее время от стружки до стружки (для инструментов диаметром менее Ø 80 мм), с",
32,Потребляемая станком мощность,
33,"Потребляемая мощность при 100 % длительности включения, кВА",17
34,"Входной предохранитель, макс., A",35
35,"In макс. при 100 % длительности включения, А",28
36,Системы управления,
37,Системы управления,"15"" DMG MORI SLIMline® с Operate на SIEMENS"
38,Габариты и масса станка,
39,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",5500 × 4935 × 2530
40,"Масса станка с транспортером стружки, кг",4100
