index,Наименование параметра,FUW 250/IV
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Размеры горизонтального (углового) стола, мм",350х630
3,"Размеры вертикального стола, мм",
4,"Максимальная масса обрабатываемой детали, кг",
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",38..430
6,"Расстояние от оси горизонтального шпинделя до хобота, мм",65
7,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",
8,"Наибольший вылет оси вертикального шпинделя, мм",
9,"Наибольший продольный ход стола (X), ручная/механическая подача, мм",400/395
10,"Наибольший ход шпиндельной бабки (Y), поперечный ход, мм",220
11,"Наибольший вертикальный ход стола (Z), ручная/механическая подача мм",400/320
12,"Цена деления лимбов, мм",002
13,Горизонтальный и вертикальный шпиндели станка,
14,Конус горизонтального и вертикального шпинделей,ISA 40
15,"Цанга в цанговом патроне позволяет крепить, мм",0..26
16,"Диаметр фрезерной оправки, мм",27
17,"Наибольший диаметр фрезы, мм",125
18,"Частота вращения горизонтального шпинделя, об/мин (число ступеней)",45..2240 (Б/с)
19,"Частота вращения вертикального шпинделя, об/мин (число ступеней)",
20,Количество скоростей шпинделей,Б/с
21,"Наибольшее осевое перемещение вертикального шпинделя, мм",
22,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",
23,"Пределы подач шпиндельной бабки (поперечная подача Y), мм/мин (число ступеней)","6,3..1250 (Б/с)"
24,Количество подач шпиндельной бабки,Б/с
25,"Наибольшее усилие резания, допускаемое/ предельное механизмом подач, Н",
26,"Допустимое значение осевой составляющей силы резания, действующей на вертикальный шпиндель, не более, Н",
27,Стол,
28,"Пределы продольных подач стола (X), мм/мин","6,3..1250 (Б/с)"
29,"Пределы вертикальных подач стола (Z), мм/мин","6,3..1250 (Б/с)"
30,"Ускоренный ход стола в продольном и вертикальном направлениях, мм/мин",1250
31,Электрооборудование и привод станка,
32,Напряжение силовой цепи,~ 380 В 50 Гц
33,Напряжение цепи освещения,~ 24 В 50 Гц
34,"Мощность двигателя главного привода, кВт (об/мин)","4,6 (2900)"
35,"Мощность двигателя подачи, кВт (об/мин)","0,56 (3000)"
36,"Мощность двигателя электронасоса СОЖ, кВт (об/мин)","0,16 (2800)"
37,"Суммарная мощность электродвигателей, кВт",70
38,Габарит и масса станка,
39,"Габариты станка (длина х ширина х высота), мм",1435 х 1885 х 1750
40,"Масса станка, кг",1450
