index,Наименование параметра,JET BD-3
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",100
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",150
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",025
6,"Максимальный размер державки резца, мм",8 х 8
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",10
9,Присоединение шпинделя,М14 х 1
10,Число ступеней частот прямого вращения шпинделя,Б/с
11,"Частота прямого вращения шпинделя, об/мин",100..3800
12,"Диаметр токарного патрона, мм",
13,Суппорт. Подачи,
14,"Наибольшее продольное перемещение каретки суппорта, мм",
15,"Перемещение суппорта продольное на одно деление лимба, мм",
16,"Наибольшее поперечное перемещение суппорта, мм",50
17,"Перемещение суппорта поперечное на одно деление лимба, мм",
18,"Угол поворота резцовых салазок, град",±45°
19,"Пределы продольных рабочих подач суппорта, мм/об",опция
20,"Пределы шагов нарезаемых резьб метрических, мм",нет
21,Задняя бабка,
22,Присоединение задней бабки,М14 х 1
23,"Наибольшее перемещение пиноли, мм",23
24,Электрооборудование,
25,"Номинальное напряжение питания, В",220 в 50 Гц
26,"Электродвигатель постоянного тока главного привода, кВт",026
27,Габариты и масса станка,
28,"Габариты станка (длина ширина высота), мм",440 х 270 х 210
29,"Масса станка, кг",13
