index,Наименование параметра,MML 180X300 V
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",180
2,"Наибольший диаметр заготовки над суппортом, мм",120
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",300
4,"Максимальный размер державки резца, мм",12
5,Шпиндель,
6,"Диаметр сквозного отверстия в шпинделе, мм",21
7,Конус шпинделя,Морзе 3
8,Число ступеней частот прямого вращения шпинделя,2 * Б/с
9,"Частота прямого вращения шпинделя, об/мин",150..1250 300..2500
10,"Диаметр токарного патрона, мм",
11,Суппорт. Подачи,
12,"Наибольшее продольное перемещение каретки суппорта, мм",85
13,"Перемещение суппорта продольное на одно деление лимба, мм",0025
14,"Наибольшее поперечное перемещение суппорта, мм",65
15,"Перемещение суппорта поперечное на одно деление лимба, мм",005
16,"Перемещение резцовых салазок на одно деление лимба, мм",002
17,"Наибольшее перемещение поворотного суппорта (резцовых салазок), мм",75
18,"Угол поворота резцовых салазок, град",±90°
19,"Пределы продольных рабочих подач суппорта, мм/об","0,05; 0,1"
20,"Пределы шагов нарезаемых резьб метрических, мм","0,5; 0,7; 0,8; 1,0; 1,25; 1,5; 1,75; 2,0; 2,5; 3"
21,"Диапазон нарезаемых резьб дюймовых, ниток/дюйм",8; 10; 11; 14; 19; 20; 22; 40; 44
22,Задняя бабка,
23,Конус задней бабки,Морзе 2
24,"Наибольшее перемещение пиноли, мм",60
25,Электрооборудование,
26,"Номинальное напряжение питания, В",220 в 50 Гц
27,"Электродвигатель главного привода, Вт",600
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",823 х 398 х 340
30,"Масса станка (нетто/ брутто), кг",65 / 80
