index,Наименование параметра,MML 250X550
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",250
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",550
4,"Максимальный размер державки резца, мм",14
5,Шпиндель,
6,"Диаметр сквозного отверстия в шпинделе, мм",21
7,Конус шпинделя,МТ 3
8,Число ступеней частот прямого вращения шпинделя,6
9,"Частота прямого вращения шпинделя, об/мин",125..2000
10,"Диаметр токарного патрона, мм",125
11,Суппорт. Подачи,
12,"Наибольшее продольное перемещение каретки суппорта, мм",
13,"Перемещение суппорта продольное на одно деление лимба, мм",
14,"Наибольшее поперечное перемещение суппорта, мм",110
15,"Перемещение суппорта поперечное на одно деление лимба, мм",005
16,"Наибольшее перемещение поворотного суппорта (резцовых салазок), мм",70
17,"Угол поворота резцовых салазок, град",±90°
18,"Пределы продольных рабочих подач суппорта, мм/об",01..02
19,"Пределы шагов нарезаемых резьб метрических, мм",04..35
20,"Диапазон нарезаемых резьб дюймовых, ниток/дюйм",10..44
21,Задняя бабка,
22,Конус задней бабки,МТ 2
23,"Наибольшее перемещение пиноли, мм",70
24,Электрооборудование,
25,"Номинальное напряжение питания, В",220 в 50 Гц
26,"Электродвигатель главного привода, Вт",750
27,Габариты и масса станка,
28,"Габариты станка (длина ширина высота), мм",1110 x 500 x 500
29,"Масса станка (нетто/ брутто), кг",125
