index,Наименование параметра,MML-03
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",230
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",750
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",20
9,Конус шпинделя,Морзе 3
10,Число ступеней частот прямого вращения шпинделя,Б/с
11,"Частота прямого вращения шпинделя, об/мин",100..1800
12,"Диаметр токарного патрона, мм",100
13,Крепление шпинделя,
14,Суппорт. Подачи,
15,"Наибольшее продольное перемещение каретки суппорта, мм",
16,"Перемещение суппорта продольное на одно деление лимба, мм",0025
17,"Наибольшее поперечное перемещение суппорта, мм",125
18,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
19,"Наибольшее перемещение верхнего поворотного суппорта (резцовых салазок), мм",48
20,"Угол поворота резцовых салазок, град",±90°
21,"Пределы продольных рабочих подач суппорта, мм/об",
22,"Пределы шагов нарезаемых резьб метрических, мм",05..30
23,"Пределы шагов нарезаемых резьб дюймовых, ниток/дюйм (TPI)",
24,Задняя бабка,
25,Конус задней бабки,Морзе 2
26,"Наибольшее перемещение пиноли, мм",
27,Электрооборудование,
28,"Номинальное напряжение питания, В",220 в 50 Гц
29,"Электродвигатель главного привода, кВт",075
30,Габариты и масса станка,
31,"Габариты станка (длина ширина высота), мм",1300 х 575 х 570
32,"Масса станка, кг",135
