index,Наименование параметра,SCHAUBLIN 13
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Размеры вертикального (консольного) стола, мм",
3,"Размеры горизонтального (углового) стола, мм",210 х 700
4,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",40..340
5,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",
6,Наибольший продольный ход стола маховичком / механически мм,320 / 300
7,"Наибольший вертикальный ход стола маховичком / механически, мм",375 / 355
8,"Наибольший ход шпиндельной бабки (Y), мм",150
9,"Цена деления лимбов, мм",
10,Горизонтальный и вертикальный шпиндели станка,
11,"Частота вращения горизонтального шпинделя, об/мин (число ступеней)",58..2000 (Б/с)
12,"Частота вращения вертикального шпинделя, об/мин (число ступеней)",58..2000 (Б/с)
13,Количество скоростей шпинделей,Б/с
14,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
15,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
16,"Наибольшее осевое перемещение вертикального шпинделя, мм",
17,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±180°
18,Конус горизонтального и вертикального шпинделей,Морзе 4/ ISO 30
19,Стол,
20,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин (число подач)",12..400 (10)
21,"Ускоренный ход стола, мм/мин",1200
22,Количество подач стола,10
23,"Наибольшее усилие подач стола, кН",
24,Шпиндельная бабка,
25,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин",
26,Количество подач шпиндельной бабки,
27,"Наибольшее усилие подач шпиндельной бабки, Н",
28,Электрооборудование и привод станка,
29,"Количество электродвигателей на станке, кВт",3
30,"Электродвигатель главного привода, кВт (об/мин)",2 л.с.(1500)
31,"Электродвигатель привода подач, кВт (об/мин)","0,6 л.с. (3000)"
32,"Электродвигатель привода насоса охлаждения, кВт (об/мин)","0,15 (3000)"
33,"Суммарная мощность электродвигателей, кВт",
34,Габарит и масса станка,
35,"Габариты станка (длина х ширина х высота), мм",1500 х 1100 х 1600
36,"Масса станка, кг",690
