index,Наименование параметра,SN-50
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",500
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",270
4,"Наибольший диаметр обработки над выемкой, мм",700
5,"Высота центров, мм",250
6,"Наибольший диаметр обработки в подвижном люнете, мм",
7,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм","1000, 1500, 2000"
8,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
9,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",52
12,Число ступеней частот прямого вращения шпинделя,24
13,"Частота вращения шпинделя в прямом направлении, об/мин",22..2000
14,Число ступеней частот обратного вращения шпинделя,24
15,"Частота вращения шпинделя в обратном направлении, об/мин",22..2000
16,Внутренний конус в шпинделе,Морзе 6
17,Передний конец шпинделя,В6
18,Суппорт. Подачи,
19,"Наибольшее перемещение поперечной каретки суппорта, мм",300
20,Число продольных ступеней подач,
21,"Пределы рабочих подач продольных, мм/об",005..64
22,Число ступеней поперечных подач,
23,"Пределы поперечных рабочих подач, мм/об",0025..32
24,"Скорость быстрых перемещений суппорта, продольных, м/мин",15
25,"Скорость быстрых перемещений суппорта, поперечных, м/мин",30
26,Количество нарезаемых резьб метрических,29
27,"Пределы шагов метрических резьб, мм",05..40
28,Количество нарезаемых резьб дюймовых,38
29,"Пределы шагов дюймовых резьб, ниток/дюйм",1..80
30,Количество нарезаемых резьб модульных,26
31,"Пределы шагов модульных резьб, модуль",025..20
32,Количество нарезаемых резьб питчевых,31
33,Пределы шагов нарезаемых резьб питчевых,2..72
34,Резцовые салазки,
35,"Наибольшее перемещение резцовых салазок, мм",140
36,"Наибольший угол поворота резцовых салазок, град",
37,"Наибольшее сечение державки резца, мм",32 х 20
38,Число резцов в резцовой головке,4
39,Число фиксированных позиций резцового суппорта,
40,Задняя бабка,
41,"Диаметр пиноли задней бабки, мм",70
42,Конус отверстия в пиноли задней бабки,Морзе 5
43,"Наибольшее перемещение пиноли, мм",180
44,"Перемещение пиноли на одно деление лимба, мм",
45,"Величина поперечного смещения корпуса бабки, мм",±12
46,Электрооборудование,
47,Количество электродвигателей на станке,3
48,"Электродвигатель главного привода, кВт",55
49,"Электродвигатель быстрых перемещений, кВт",
50,"Электродвигатель насоса охлаждения, кВт",
51,Габариты и масса станка,
52,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",2640 х 1100 х 1580
53,"Масса станка (РМЦ = 1000), кг",1735
