index,Наименование параметра,SPA-500P
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",200
2,"Наибольший диаметр заготовки над суппортом, мм",115
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",500
4,"Максимальный размер державки резца, мм",
5,Шпиндель,
6,"Диаметр сквозного отверстия в шпинделе, мм",20
7,Конус шпинделя,Mk III
8,Число ступеней частот прямого вращения шпинделя,6
9,"Частота прямого вращения шпинделя, об/мин",140..1710 (6 ступеней)
10,"Диаметр токарного патрона, мм",100
11,"Максимальная высота резцов, мм",10
12,Суппорт. Подачи,
13,"Наибольшее продольное перемещение каретки суппорта, мм",
14,"Перемещение суппорта продольное на одно деление лимба, мм",
15,"Наибольшее поперечное перемещение суппорта, мм",
16,"Перемещение суппорта поперечное на одно деление лимба, мм",
17,"Наибольшее перемещение верхнего поворотного суппорта (резцовых салазок), мм",
18,"Угол поворота резцовых салазок, град",±90°
19,"Пределы продольных рабочих подач суппорта, мм/об","0,05..0,2 мм/об (4 ступ)"
20,"Пределы шагов нарезаемых резьб метрических, мм","0,4..3 (11 ступ)"
21,"Пределы шагов нарезаемых резьб дюймовых, ниток/дюйм (TPI)",
22,Задняя бабка,
23,Конус задней бабки,Мк II
24,"Наибольшее перемещение пиноли, мм",45
25,Электрооборудование,
26,"Номинальное напряжение питания, В","220 в, 50 Гц"
27,"Электродвигатель главного привода, кВт",037
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",1160 х 560 х 420
30,"Масса станка, кг",130
