index,Наименование параметра,TL-180
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",180
2,"Наибольший диаметр заготовки над суппортом, мм",110
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",300
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",12 х 12
7,"Ширина станины, мм",100
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",21
10,Конус шпинделя,MT3
11,Число ступеней частот прямого вращения шпинделя,2 Б/с
12,"Частота прямого вращения шпинделя, об/мин","50..1250, 100..2500"
13,"Диаметр токарного патрона, мм",100
14,"Диаметр изделия, зажимаемого в патроне прямыми кулачками, мм",30
15,"Диаметр изделия, зажимаемого в патроне обратными кулачками, мм",80
16,Суппорт. Подачи,
17,"Наибольшее продольное перемещение каретки суппорта, мм",276
18,"Перемещение суппорта продольное на одно деление лимба, мм",025
19,"Наибольшее поперечное перемещение суппорта, мм",75
20,"Перемещение суппорта поперечное на одно деление лимба, мм",004
21,"Наибольшее перемещение верхнего поворотного суппорта (резцовых салазок), мм",55
22,"Перемещение верхнего поворотного суппорта (резцовых салазок) на одно деление лимба, мм",002
23,"Угол поворота резцовых салазок, град",±90°
24,Количество подач,3
25,"Пределы продольных рабочих подач суппорта, мм/об",01..02
26,Количество нарезаемых метрических резьб,14
27,"Пределы шагов нарезаемых резьб метрических, мм",05..30
28,Количество нарезаемых дюймовых резьб,10
29,"Пределы шагов нарезаемых резьб дюймовых, ниток/дюйм (TPI)",8..44
30,Задняя бабка,
31,Конус задней бабки,MT2
32,"Наибольшее перемещение пиноли, мм",60
33,Электрооборудование,
34,"Номинальное напряжение питания, В",220 в 50 Гц
35,"Электродвигатель главного привода, кВт",045
36,Габариты и масса станка,
37,"Габариты станка (длина ширина высота), мм",740 х 390 х 370
38,"Масса станка, кг",80
