index,Наименование параметра,UPW 25 X 100
0,Основные параметры станка,
1,"Усилие накатывания, кН (тс)","5..250 (0,5..25)"
2,"Наибольший диаметр накатываемой заготовки радиальным способом, мм",10..100
3,"Наибольший шаг накатываемой резьбы, мм",8
4,"Наибольшая длина накатываемой резьбы радиальным способом, мм",180
5,"Наибольшая длина накатываемой резьбы радиально-осевым способом, мм",2000
6,"Диаметр накатных роликов, мм",230
7,"Диаметр шпинделей под накатные ролики, мм",80
8,"Длина посадочного места на шпинделях, мм",180
9,"Высота осей шпинделей над станиной, мм",180
10,"Расстояние между осями накатных роликов, мм",150..320
11,"Наибольший ход салазок подвижной головки, мм",0..25
12,"Частота вращения шпинделей, об/мин",20..90
13,Привод станка,
14,Количество электродвигателей,
15,"Электродвигатель главного привода, кВт (об/мин)",75
16,"Электродвигатель гидропривода, кВт (об/мин)",22
17,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",013
18,"Электродвигатель насоса смазки, кВт (об/мин)",
19,"Электродвигатель вентилятора, кВт (об/мин)",
20,Габарит и масса станка,
21,"Габариты станка (требуемая площадь), мм",1570 х 1230
22,"Масса станка, кг",3400
