index,Наименование параметра,UPW 6.3 X 40
0,Основные параметры станка,
1,"Усилие накатывания, кН (тс)","3..63 (0,3..6,3)"
2,"Наибольший диаметр накатываемой заготовки радиальным способом, мм",2..40
3,"Поле допуска накатываемой резьбы, мм",
4,"Наибольший шаг накатываемой резьбы, мм",25
5,"Наибольшая длина накатываемой резьбы радиальным способом, мм",58
6,"Наибольшая длина накатываемой резьбы радиально-осевым способом, мм",2000
7,"Диаметр накатных роликов, мм",140
8,"Диаметр шпинделей под накатные ролики, мм",54
9,"Длина посадочного места на шпинделе, мм",63
10,"Высота осей шпинделей над станиной, мм",130
11,"Расстояние между осями накатных роликов, мм",90..180
12,"Наибольшее давление в гидросистеме, МПа (кгс/см2)",
13,"Наибольший ход салазок подвижной головки, мм",0..10
14,"Частота вращения шпинделя с приводом постоянного тока, об/мин",
15,"Частота вращения шпинделя с приводом переменного тока (вариатор или коробка скоростей), об/мин","40, 56, 80, 112, 160, 224"
16,Привод станка постоянного тока,
17,Количество электродвигателей,
18,"Электродвигатель главного привода, кВт (об/мин)",
19,"Электродвигатель гидропривода, кВт (об/мин)",
20,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",
21,"Электродвигатель насоса смазки, кВт (об/мин)",
22,"Электродвигатель вентилятора, кВт (об/мин)",
23,Привод станка с коробкой скоростей и вариатором,
24,Количество электродвигателей,
25,"Электродвигатель главного привода, кВт (об/мин)","1,4/ 2,3"
26,"Электродвигатель гидропривода, кВт (об/мин)",11
27,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",014
28,"Электродвигатель насоса смазки, кВт (об/мин)",
29,"Электродвигатель вентилятора, кВт (об/мин)",
30,Габарит и масса станка,
31,"Габариты станка (длина ширина высота), мм",1060 х 1040 х 1130
32,"Масса станка + электрошкаф + гидростанция, кг",1200
