index,Станок,Группа,Тип,Мощность,КПД,Точность,Автоматизация,Специализация,Масса,Классификация_по_массе,Длина,Ширина,Высота,Габаритный_диаметр,Город,Производитель,Тип_станка
0,11Т16А,1.0,1.0,3.0,0.75,А,Автомат,Универсальный,1200.0,Средний,1945,945,1520,Ø 16,Ленинград,ЛЗСА,Токарный продольного точения автомат
1,1283,1.0,2.0,22.0,0.75,Н,Полуавтомат,Универсальный,19900.0,Тяжёлый,3252,3065,3942,Ø 250,Москва,None,Токарный восьмишпиндельный вертикальный полуавтомат
2,1286-6,1.0,2.0,40.0,0.75,Н,Полуавтомат,Универсальный,35500.0,Тяжёлый,4790,5020,4870,Ø 630,Краснодар,None,Токарный шестишпиндельный вертикальный полуавтомат
3,1325Ф30,1.0,3.0,6.0,0.75,П,Автомат,Универсальный,2600.0,Средний,2550,1112,1700,Ø 28,Барнаул,None,Токарный с ЧПУ автомат
4,1336М,1.0,3.0,2.8,0.75,Н,Ручной,Универсальный,1500.0,Средний,2280,1000,1280,Ø 420,Ижевск,Киев,Токарно-револьверный с горизонтальной осью револьверной головки
5,1340,1.0,3.0,7.0,0.75,Н,Ручной,Универсальный,2400.0,Средний,3250,1160,1600,Ø 40/ Ø 400,Киев,None,Токарно-револьверный универсальный
6,1341,1.0,3.0,5.5,0.75,Н,Ручной,Универсальный,2200.0,Средний,3000,1200,1600,Ø 400,Бердичев,None,Токарно-револьверный повышенной точности
7,1365,1.0,3.0,13.0,0.75,Н,Ручной,Универсальный,4250.0,Средний,5845,1500,1655,Ø 85,Алапаевск,None,Токарно-револьверный универсальный
8,1425,1.0,4.0,7.0,0.75,Н,Полуавтомат,Универсальный,4500.0,Средний,2550,1650,2140,Ø 250 х 175,Алапаевск,None,Токарно-револьверный полуавтомат
9,1508,1.0,5.0,22.0,0.75,Н,Ручной,Универсальный,9500.0,Средний,2270,2365,3210,Ø 800,Краснодар,None,Токарно-карусельный одностоечный универсальный
10,1510,1.0,5.0,22.0,0.75,Н,Ручной,Универсальный,10500.0,Тяжёлый,2370,2365,3210,Ø 800,Краснодар,None,Токарно-карусельный одностоечный универсальный
11,1512,1.0,5.0,30.0,0.75,Н,Ручной,Универсальный,16500.0,Тяжёлый,2750,2975,4100,Ø 800,Краснодар,None,Токарно-карусельный одностоечный универсальный
12,1512Ф1,1.0,5.0,30.0,0.75,Н,Ручной,Универсальный,16500.0,Тяжёлый,2750,2975,4100,Ø 1600,Краснодар,None,Универсальный токарно-карусельный одностоечный с УЦИ
13,1512Ф3,1.0,5.0,30.0,0.75,Н,Ручной,Универсальный,15500.0,Тяжёлый,2920,3610,5615,Ø 1250,Краснодар,None,Токарно-карусельный одностоечный с ЧПУ
14,1516,1.0,5.0,30.0,0.75,Н,Ручной,Универсальный,20000.0,Тяжёлый,3170,3030,4100,Ø 800,Краснодар,None,Токарно-карусельный одностоечный универсальный
15,1516Ф1,1.0,5.0,30.0,0.75,Н,Ручной,Универсальный,20000.0,Тяжёлый,3170,3030,4100,Ø 1600,Краснодар,None,Универсальный токарно-карусельный одностоечный с УЦИ
16,1516Ф3,1.0,5.0,30.0,0.75,Н,Ручной,Универсальный,19000.0,Тяжёлый,3170,3810,5615,Ø 1250,Краснодар,None,Токарно-карусельный одностоечный с ЧПУ
17,1525,1.0,5.0,40.0,0.75,Н,Ручной,Универсальный,35500.0,Тяжёлый,5065,5340,4910,Ø 3150,Краснодар,None,Токарно-карусельный двухстоечный универсальный
18,1531М,1.0,5.0,30.0,0.75,Н,Ручной,Универсальный,14150.0,Тяжёлый,3050,3117,4140,Ø 1250,Краснодар,None,Токарно-карусельный одностоечный универсальный
19,1540Ф1,1.0,5.0,125.0,0.75,Н,Ручной,Универсальный,105000.0,Уникальный,5920,10144,7200,Ø 4000,Коломна,None,Токарно-карусельный двухстоечный
20,1541,1.0,5.0,30.0,0.75,Н,Ручной,Универсальный,17800.0,Тяжёлый,3380,3240,4140,Ø 1250,Краснодар,None,Токарно-карусельный одностоечный универсальный
21,1553,1.0,5.0,40.0,0.75,Н,Ручной,Универсальный,31000.0,Тяжёлый,4345,4980,4480,Ø 2300,Краснодар,None,Токарно-карусельный двухстоечный
22,1557,1.0,5.0,55.0,0.75,Н,Ручной,Универсальный,45000.0,Тяжёлый,5965,6265,4900,Ø 3200 х 1600,Краснодар,None,Токарно-карусельный двухстоечный
23,1563Ф1,1.0,5.0,180.0,0.75,Н,Ручной,Универсальный,228000.0,Уникальный,8200,14200,9800,Ø 4000,Коломна,None,Токарно-карусельный двухстоечный
24,1600,1.0,6.0,0.12,0.75,П,Ручной,Универсальный,20.0,Лёгкий,500,475,200,Ø 100,Кировакан,None,Токарный настольный повышенной точности
25,1600В,1.0,6.0,0.12,0.75,В,Ручной,Универсальный,20.0,Лёгкий,500,475,200,Ø 100,Кировакан,None,Токарный настольный повышенной точности
26,1601,1.0,6.0,6.0,0.75,П,Ручной,Универсальный,210.0,Лёгкий,880,595,1270,Ø 125,Одесса,None,Токарный настольный
27,1603,1.0,6.0,1.1,0.75,П,Ручной,Универсальный,500.0,Лёгкий,1080,560,1170,Ø 200,Кировакан,None,Токарно-винторезный повышенной точности
28,1604,1.0,6.0,1.0,0.75,П,Ручной,Универсальный,440.0,Лёгкий,1310,690,1280,Ø 240,Одесса,None,Токарно-винторезный прецизионный
29,161-А,1.0,6.0,3.4,0.75,Н,Ручной,Универсальный,1080.0,Средний,2335,1080,1250,Ø 350,Ижевск,None,Токарно-винторезный универсальный
30,161-АМ,1.0,6.0,4.5,0.75,Н,Ручной,Универсальный,1080.0,Средний,2335,1080,1250,Ø 350,Ижевск,None,Токарно-винторезный универсальный
31,1612В,1.0,6.0,1.7,0.75,В,Ручной,Универсальный,800.0,Лёгкий,1725,860,1400,Ø 260,Кимры,None,Токарно-винторезный универсальный
32,1612П,1.0,6.0,1.7,0.75,П,Ручной,Универсальный,800.0,Лёгкий,1725,860,1400,Ø 260,Кимры,None,Токарно-винторезный универсальный
33,1613 Д,1.0,6.0,1.0,0.75,Н,Ручной,Универсальный,450.0,Лёгкий,1100,680,1230,Ø 240,Одесса,None,Токарно-винторезный прецизионный
34,1615,1.0,6.0,1.5,0.75,Н,Ручной,Универсальный,850.0,Лёгкий,1960,880,1235,Ø 320,Куйбышев (Самара),None,Токарно-винторезный универсальный
35,1615-А,1.0,6.0,2.2,0.75,Н,Ручной,Универсальный,1372.0,Средний,2275,880,1280,Ø 300,Пермь,None,Токарно-винторезный универсальный
36,1616,1.0,6.0,2.8,0.75,Н,Ручной,Универсальный,1850.0,Средний,2355,852,1275,Ø 320,Куйбышев (Самара),None,Токарно-винторезный универсальный
37,1617,1.0,6.0,3.0,0.75,Н,Ручной,Универсальный,1250.0,Средний,2100,920,1260,Ø 350,Лубны,None,Токарно-винторезный универсальный
38,1622,1.0,6.0,2.3,0.75,B,Ручной,Универсальный,3300.0,Средний,6920,1340,1470,Ø 120,Москва,None,Токарный винторезный высокоточный
39,1624М,1.0,6.0,10.0,0.75,П,Ручной,Универсальный,2500.0,Средний,2820,1202,1280,Ø 500,Фрунзе,None,Токарно-винторезный универсальный
