index,Наименование параметра,А9518Б
0,Основные параметры станка,
1,"Усилие накатывания, кН (тс)","5..63 (0,5..6,3)"
2,"Наибольший диаметр накатываемой заготовки радиальным способом, мм",3..45
3,"Поле допуска накатываемой резьбы, мм",4h
4,"Наибольший шаг накатываемой резьбы, мм",25
5,"Наибольшая длина накатываемой резьбы радиальным способом, мм",58
6,"Наибольшая длина накатываемой резьбы радиально-осевым способом, мм",58
7,"Диаметр накатных роликов, мм",
8,"Диаметр шпинделей под накатные ролики, мм",54 h6
9,"Длина посадочного места на шпинделе, мм",
10,"Высота осей шпинделей над станиной, мм",
11,"Расстояние между осями накатных роликов, мм",90..180
12,"Наибольшее давление в гидросистеме, МПа (кгс/см2)",
13,"Наибольший ход салазок подвижной головки, мм",0..10
14,"Частота вращения шпинделя с приводом постоянного тока, об/мин",25..224
15,"Частота вращения шпинделя с приводом переменного тока (вариатор или коробка скоростей), об/мин",
16,Привод станка постоянного тока,
17,Количество электродвигателей,
18,"Электродвигатель главного привода, кВт (об/мин)",475
19,"Электродвигатель гидропривода, кВт (об/мин)",
20,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",
21,"Электродвигатель насоса смазки, кВт (об/мин)",
22,"Электродвигатель вентилятора, кВт (об/мин)",
23,Привод станка с коробкой скоростей и вариатором,
24,Количество электродвигателей,
25,"Электродвигатель главного привода, кВт (об/мин)",
26,"Электродвигатель гидропривода, кВт (об/мин)",
27,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",
28,"Электродвигатель насоса смазки, кВт (об/мин)",
29,"Электродвигатель вентилятора, кВт (об/мин)",
30,Габарит и масса станка,
31,"Габариты станка (длина ширина высота), мм",1240 х 925 х 1150
32,"Масса станка + электрошкаф + гидростанция, кг",1075
