index,Наименование параметра,АСС 16Ф3
0,Основные параметры станка,
1,"Носитель инструмента, закрепленный на суппорте",Стол рабочий
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",
3,"Наибольший диаметр обрабатываемого прутка, мм",28
4,"Диаметр отверстия в шпинделе, мм",48
5,"Наибольшая длина обрабатываемого прутка в цанговом зажиме, мм",100
6,"Наибольшая длина обрабатываемого прутка в патроне, мм",
7,"Наибольшая длина прутка, устанавливаемого в зажимной и подающей трубе, мм",
8,"Рекомендуемая длина прутка, устанавливаемого в зажимной и подающей трубе, мм",
9,"Наибольшая длина прутка, устанавливаемого без подающего устройства, мм",
10,"Наибольшая длина подачи прутка, мм",
11,"Высота центров, мм",
12,"Расстояние от торца шпинделя до револьверной головки, мм",
13,"Расстояние от оси шпинделя до основания станка, мм",
14,"Наибольший размер нарезаемой резьбы плашками и метчиками, мм",
15,Количество инструментов в револьверной головке,
16,Шпиндель,
17,"Пределы чисел оборотов шпинделя с цанговым патроном, об/мин",0..12000
18,"Пределы чисел оборотов шпинделя с зажимным патроном, об/мин",-
19,Конец шпинделя фланцевый по ГОСТ 12595-72,
20,Тип токарного патрона,цанга 162Е
21,Подачи,
22,"Размер рабочего стола, по оси Z/X, мм",254 х 520
23,"Наибольшее перемещение револьверного суппорта: продольное (Z)/ поперечное (X), мм",200/ 200
24,"Диапазон скоростей продольных подач револьверного суппорта, мм/мин",0001..30
25,"Диапазон скоростей поперечных (круговых) подач револьверного суппорта, мм/мин",0001..30
26,"Диапазон ускоренных подач револьверного суппорта по осям X/ Z, мм/мин",5000/ 5000
27,"Наибольшее усилие подач револьверного суппорта по оси Z/ X, кН",
28,"Точность позиционирования суппорта, мм","0,001+0,001"
29,"Повторяемость, мм","0,001+0,001"
30,Смена инструмента,автомат
31,Система ЧПУ,
32,Система ЧПУ,FANUC
33,"Количество одновременно управляемых координат (X, Z, C)",3
34,Электрооборудование станка,
35,"Количество электродвигателей на станке, кВт",
36,"Электродвигатель главного привода, кВт",116
37,"Электродвигатель привода центральной смазочной системы, кВт",
38,"Электродвигатель привода револьверной головки, кВт",
39,"Электродвигатель привода подачи и зажима прутка, кВт",
40,"Электродвигатель привода ловителя детали, кВт",
41,"Электродвигатель насоса охлаждения, кВт",
42,"Мощность потребляемая станком не более, кВт",21
43,Габариты и масса станка,
44,"Габаритные размеры станка (длина, ширина, высота), мм",1950 х 1200 х 1800
45,"Масса станка , кг",900
