index,Наименование параметра,В-88
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр устанавливаемого изделия, мм",140
3,"Наибольшая длина устанавливаемого изделия (РМЦ), мм",180
4,"Наибольшая длина шлифования, мм",180
5,"Наибольший диаметр шлифования, мм",0..40
6,"Наименьший диаметр шлифования, мм",
7,"Рекомендуемый диаметр шлифования, мм",
8,"Наибольший диаметр шлифуемого отверстия, мм",
9,"Рекомендуемый диаметр шлифования отверстия, мм",25..50
10,"Наибольшая длина шлифования отверстия, мм",
11,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",
12,"Наибольший вес устанавливаемого изделия, кг",
13,"Высота центров передней бабки над столом, мм",95
14,"Высота центров над подошвой станка, мм",
15,"Наибольший диаметр зажимного патрона, мм",100
16,Станина и стол станка,
17,"Наибольшее продольное перемещение стола, мм",
18,"Максимальное число двойных ходов стола в минуту, мм",
19,"Наименьший ход стола между упорами, мм",
20,"Ручное замедленное перемещения стола за один оборот маховика, мм",
21,"Ручное ускоренное перемещения стола за один оборот маховика, мм",
22,"Скорость автоматического перемещения стола (от гидросистемы), м/мин",нет
23,"Наибольший угол поворота верхнего стола по часовой стрелке, град",10
24,"Наибольший угол поворота верхнего стола против часовой стрелки, град",90
25,"Цена деления шкалы поворота верхнего стола, град",
26,"Цена деления шкалы поворота верхнего стола (конусность), мм/м",
27,Шлифовальная бабка,
28,"Наибольшее перемещение шлифовальной бабки по винту подачи, мм",80
29,"Перемещение шлифовальной бабки во время быстрого подвода, мм",нет
30,"Угол поворота шлифовальной бабки по часовой стрелке, град",45
31,"Угол поворота шлифовальной бабки против часовой стрелки, град",45
32,"Время быстрого подвода шлифовальной бабки, с",нет
33,Шлифовальный круг по ГОСТ 2424-67,250 х 25
34,Износ шлифовального круга в мм на диаметр,
35,"Частота вращения шпинделя наружного шлифования, об/мин",
36,"Толчковая подача - периодическая подача с реверсированием стола, мм",
37,"Ручная толчковая подача - периодическая подача в момент реверса стола, мм",нет
38,"Автоматическая толчковая подача - периодическая в момент реверса стола, мм",нет
39,"Наибольший ход автоматической подачи, мм",нет
40,"Цена деления лимба поперечной подачи, мм",00025
41,"Цена деления лимба тонкой поперечной подачи, мм",0001
42,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",075
43,"Наибольшее перемещение шлифовальной бабки по цепи микроподачи, мм/рад",
44,"Пределы скоростей врезной микроподачи, мм/мин",нет
45,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",нет
46,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",
47,Приспособление для внутреннего шлифования,
48,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",60
49,"Наибольшая длина шлифуемого отверстия, мм",85
50,"Диаметр внутришлифовальной головки, мм",20..45
51,"Наибольшая ширина внутришлифовальной головки, мм",16
52,Число оборотов внутришлифовального шпинделя,
53,Передняя бабка (бабка изделия),
54,"Частота вращения изделия (бесступенчатое регулирование), об/мин",
55,"Угол поворота патронной бабки по часовой стрелке, град",
56,"Угол поворота патронной бабки по часовой стрелке, град",
57,Конус шпинделя передней бабки по СТ СЭВ 147-75,
58,Задняя бабка,
59,"Величина отвода пиноли задней бабки от руки, мм",
60,Конус шпинделя пиноли задней бабки по СТ СЭВ 147-75,
61,Привод и электрооборудование станка,
62,Количество электродвигателей на станке,4
63,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)","0,6 (2800)"
64,"Электродвигатель привода изделия, кВт","0,18 (1400)"
65,"Электродвигатель привода внутришлифовального шпинделя, кВт","0,4 (2800)"
66,"Электродвигатель привода стола, кВт",нет
67,"Электродвигатель насоса гидросистемы, кВт",нет
68,"Электродвигатель магнитного сепаратора, кВт",нет
69,Электродвигатель продергивания бумаги кВт,нет
70,"Электродвигатель насоса системы охлаждения, кВт","0,125 (2850)"
71,Габаритные размеры и масса станка,
72,"Габаритные размеры станка (длина х ширина х высота), мм",1140 х 920 х 1350
73,"Масса станка с электрооборудованием и охлаждением, кг",580
