index,Наименование параметра,ВМ127
0,Рабочий стол,
1,Класс точности по ГОСТ 8-82,Н
2,"Максимальная нагрузка на стол (по центру), кг",300
3,"Размеры рабочей поверхности стола (длина х ширина), мм",1600 х 400
4,Число Т-образных пазов Размеры Т-образных пазов,3
5,"Наибольшее перемещение стола продольное механическое и ручное, мм",1000
6,"Наибольшее перемещение стола поперечное механическое, мм",300
7,"Наибольшее перемещение стола поперечное от руки, мм",320
8,"Наибольшее перемещение стола вертикальное механическое, мм",400
9,"Наибольшее перемещение стола вертикальное от руки, мм",420
10,"Наименьшее и наибольшее расстояние от торца шпинделя до стола при ручном перемещении, мм* Размер 30 мм обеспечивается за счет выдвижения шпинделя",30..500*
11,"Расстояние от оси шпинделя до вертикальных направляющих станины, мм",620
12,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
13,"Перемещение стола на один оборот лимба продольное, мм",4
14,"Перемещение стола на один оборот лимба поперечное, мм",6
15,"Перемещение стола на один оборот лимба вертикальное, мм",2
16,Шпиндель,
17,"Частота вращения шпинделя, об/мин",315..1600
18,Количество скоростей шпинделя,18
19,"Наибольший крутящий момент, кгс.м",137
20,Эскиз конца шпинделя,ГОСТ 836-72
21,Конус шпинделя,50
22,"Наибольшее осевое перемещение пиноли шпинделя, мм",80
23,"Перемещение пиноли на один оборот лимба, мм",4
24,"Перемещение пиноли на 1 деление лимба, мм",005
25,"Наибольший угол поворота шпиндельной головки, град",±45
26,"Цена одного деления шкалы поворота головки, град",1
27,Механика станка,
28,"Быстрый ход стола продольный и поперечный, мм/мин",3000
29,"Быстрый ход стола вертикальный, мм/мин",1000
30,Число ступеней рабочих подач стола,18
31,"Пределы рабочих подач. Продольных и поперечных, мм/мин",25..1250
32,"Пределы рабочих подач. Вертикальных, мм/мин",83..4166
33,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
34,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
35,Блокировка раздельного включения подачи,есть
36,Автоматическая прерывистая подача Продольная,есть
37,Автоматическая прерывистая подача Поперечная и вертикальная,нет
38,Торможение шпинделя,есть
39,Предохранение от перегрузки (муфта),есть
40,Привод,
41,Количество электродвигателей на станке,3
42,"Электродвигатель привода главного движения М1, кВт",11
43,"Электродвигатель насоса охлаждающей жидкости М2, кВт",012
44,"Электродвигатель привода подач М3, кВт",3
45,"Электродвигатель зажима инструмента М4, кВт",-
46,Электронасос охлаждающей жидкости Тип,Х14-22М
47,"Производительность насоса СОЖ, л/мин",22
48,Габарит станка,
49,"Габариты станка, мм",2560 х 2260 х 2430
50,"Масса станка, кг",4250
