index,Наименование параметра,ВМС-2А
0,Основные параметры,
1,"Диаметр нарезаемой трубной резьбы, дюйм",½..2½
2,"Диаметр нарезаемой трубной резьбы, мм",14..75
3,"Наибольший шаг нарезаемой метрической резьбы для диаметров 14..48, мм",3
4,"Наибольший шаг нарезаемой метрической резьбы для диаметров 48..76, мм",25
5,"Производительность при нарезке коротких резьб, шт/ч",220
6,"Максимальная длина нарезки без зенкера/ с зенкером, мм",120/ 65
7,Количество скоростей шпинделя,4
8,"Скорости вращения шпинделя, об/мин","64, 104, 132, 214"
9,"Диаметр внутреннего отверстия головки, мм",79
10,"Диаметр сквозного отверстия в шпинделе, мм",45
11,Электрооборудование,
12,Количество электродвигателей на станке,1
13,"Электродвигатель главного привода, кВт (об/мин)","3,0 (1500)"
14,Габариты и масса станка,
15,"Габариты станка (длина ширина высота), мм",1500 х 750 х 1160
16,"Масса станка, кг",550
