index,Наименование параметра,ВСН-12
0,Основные параметры станка,
1,"Диапазон нарезаемой резьбы, мм",М3..М8
2,"Шаг нарезаемой резьбы, мм",05..15
3,"Расстояние от торца шпинделя до стола (до оправки), мм",0..200 (160)
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",170
5,Рабочий стол,
6,"Ширина рабочей поверхности стола, мм",200 х 200
7,Число Т-образных пазов,1
8,"Ширина Т-образного паза (ГОСТ 1574-91), мм",14Н9
9,Шпиндель,
10,"Наибольшее перемещение шпиндельной головки, мм",-
11,"Ход гильзы шпинделя, мм",30
12,Подача при нарезании резьбы,ручная
13,"Частота вращения шпинделя в прямом направлении, об/мин","600, 750"
14,"Частота вращения шпинделя в обратном направлении, об/мин","650, 856"
15,Количество скоростей шпинделя,4
16,Конус шпинделя,КМ 2; В16
17,Сверлильный патрон,10-В16
18,Привод,
19,"Напряжение питания, В",380
20,"Электродвигатель привода главного движения, кВт",055
21,Габарит и масса станка,
22,"Габариты станка (длина ширина высота), мм",730 х 362 х 718
23,"Масса станка, кг",93
