index,Наименование параметра,ВСН
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",12; 16
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..400
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",
4,Рабочий стол,
5,"Ширина рабочей поверхности стола, мм",250 х 250
6,Число Т-образных пазов Размеры Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки, мм",
9,"Ход гильзы шпинделя, мм",100
10,"Частота вращения шпинделя, об/мин","450, 1200, 1800"
11,Количество скоростей шпинделя,2; 3
12,Конус шпинделя,Морзе В16
13,Привод,
14,"Рабочее напряжение, В",~380
15,"Электродвигатель привода главного движения, кВт","0,37; 0,55; 0,75"
16,Габарит и масса станка,
17,"Габариты станка (длина ширина высота), мм",290 х 580 х 630
18,"Масса станка, кг",60
