index,Наименование параметра,ВСТ-028
0,Основные параметры станка,
1,Класс точности,В
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",125
4,"Наибольшая длина заготовки в центрах (РМЦ), мм",350
5,"Наибольшая высота держателя резца (ш х в), мм",12 х 12
6,Шпиндель,
7,"Конец шпинделя, мм",
8,"Диаметр стандартного патрона, мм",125
9,"Диаметр сквозного отверстия в шпинделе, мм",
10,"Наибольший диаметр прутка, мм",12
11,Конус отверстия шпинделя,Морзе 3
12,"Частота вращения шпинделя, об/мин","250, 500, 1000, 2000"
13,Торможение шпинделя,нет
14,Блокировка рукояток,нет
15,Суппорт. Подачи,
16,"Наибольшее продольное перемещение суппорта, мм",
17,"Наибольшее поперечное перемещение суппорта, мм",
18,"Перемещение суппорта поперечное на одно деление лимба, мм",
19,"Пределы продольных рабочих подач суппорта, мм/об","0,08; 0,16"
20,"Пределы рабочих поперечных подач суппорта, мм/об",нет
21,"Пределы шагов нарезаемых резьб метрических, мм",02..50
22,Пределы шагов нарезаемых резьб дюймовых,28..11
23,Пределы шагов нарезаемых резьб модульных,01..06
24,Резьбоуказатель,нет
25,Предохранение от перегрузок,есть
26,Блокировка,есть
27,Ускоренное перемещение суппорта,нет
28,Выключающие упоры,нет
29,Резцовые салазки (верхний суппорт),
30,"Наибольшее перемещение резцовых салазок, мм",
31,"Шаг резьбы ходового винта резцовых салазок, мм",
32,"Диаметр резьбы ходового винта резцовых салазок, мм",
33,"Перемещение резцовых салазок на одно деление лимба, мм",
34,"Перемещение резцовых салазок на один оборот лимба, мм",
35,"Угол поворота резцовых салазок, град",±°
36,Задняя бабка,
37,Диаметр пиноли задней бабки,
38,Конус отверстия пиноли задней бабки,Морзе 2
39,"Наибольшее перемещение пиноли, мм",
40,"Поперечное перемещение задней бабки, мм",±5
41,Электрооборудование,
42,"Напряжение питающей сети, В",~380 В
43,"Электродвигатель главного привода, кВт",075
44,Габариты и масса станка,
45,"Габариты станка (длина ширина высота), мм",1095 х 570 х 400
46,"Масса станка, кг",170
