index,Наименование параметра,ВТФ-1
0,Основные параметры станка,
1,"Наибольший диаметр токарной обработки, мм",40
2,"Размеры рабочей поверхности стола (длина х ширина), мм",300 х 120
3,"Наибольшее перемещение стола (продольное х поперечное х вертикальное), мм",90 х 200 х 100
4,"Расстояние от оси шпинделя до стола, мм",30..130
5,Привод и электрооборудование,
6,"Электродвигатель привода главного движения, кВт (об/мин)","0,55 (1500)"
7,Габариты и масса станка,
8,"Габариты станка (длина х ширина х высота), мм",760 х 570 х 500
9,"Масса станка, кг",90
