index,Наименование параметра,ГС545
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",45
3,"Диапазон нарезаемой резьбы в стали 45, мм",М24
4,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",320..1100
5,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",780
6,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",-60..1250
7,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",1060
8,"Угол поворота рукава вокруг колонны, град",360
9,"Угол поворота головки вокруг горизонтальной оси, град",±45
10,"Рамер поверхности плиты (ширина длина), мм",760 х 1250 х 200
11,Шпиндель,
12,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",250
13,"Частота прямого вращения шпинделя, об/мин",45..2000
14,Количество скоростей шпинделя прямого вращения,12
15,"Пределы рабочих подач на один оборот шпинделя, мм/об","0,056; 0,1; 0,18; 0,32"
16,Число ступеней рабочих подач,4
17,"Наибольший допустимый крутящий момент на шпинделе, Н-м",180
18,"Наибольшее усилие подачи, кН",12
19,Обозначение конца шпинделя,Морзе 4 АТ6 ГОСТ 25557
20,Зажим вращения колонны,Ручной
21,Зажим рукава на колонне,Ручной
22,Зажим сверлильной головки на рукаве,Ручной
23,Электрооборудование. Привод,
24,Количество электродвигателей на станке,3
25,"Электродвигатель привода главного движения, кВт",3
26,"Электродвигатель привода перемещения рукава по колонне, кВт",11
27,"Электродвигатель насоса охлаждающей жидкости, кВт",018
28,"Суммарная мощность установленных электродвигателей, кВт",428
29,Габариты и масса станка,
30,"Габариты станка (длина ширина высота), мм",1800 х 925 х 2260
31,"Масса станка, кг",1380
