index,Наименование параметра,ДИП-200(1Д62М)
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",410
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",210
4,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм","750, 1000, 1500"
5,"Наибольшая длина обточки, мм","650, 900, 1400"
6,"Высота оси центров над плоскими направляющими станины, мм",
7,"Наибольшее расстояние от оси центров до до кромки резцедержателя, мм",228
8,"Высота от опорной поверхности резца до оси центров (высота резца), мм",23
9,"Наибольшее сечение державки резца, мм",25 х 25
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
11,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
12,Шпиндель,
13,"Диаметр сквозного отверстия в шпинделе, мм",38
14,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",37
15,Число ступеней частот прямого вращения шпинделя,18
16,"Частота вращения шпинделя в прямом направлении, об/мин",115..600
17,Число ступеней частот обратного вращения шпинделя,9
18,"Частота вращения шпинделя в обратном направлении, об/мин",18..760
19,"Размер внутреннего конуса в шпинделе, М",Морзе 5
20,Конец шпинделя фланцевого,М90х6
21,Торможение шпинделя,
22,Материал шпинделя,Ст.45
23,Суппорт. Подачи,
24,"Наибольшее перемещение продольной каретки суппорта от руки, мм","650, 900, 1400"
25,"Наибольшее перемещение продольной каретки суппорта по валику и по винту, мм","650, 900, 1400"
26,"Наибольшее перемещение поперечной каретки суппорта от руки, мм",280
27,"Наибольшее перемещение поперечной каретки суппорта по валику и по винту, мм",280
28,"Продольное перемещение на одно деление лимба, мм",нет
29,"Поперечное перемещение на одно деление лимба, мм",005
30,"Поперечное перемещение на один оборот лимба (шаг винта поперечного суппорта), мм",5
31,Число ступеней продольных подач,35
32,"Пределы рабочих подач продольных, мм/об",0082...159
33,Число ступеней поперечных подач,35
34,"Пределы рабочих подач поперечных, мм/об",0027..0522
35,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
36,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
37,"Максимально допустимая скорость при работе по упорам, м/мин",
38,Количество нарезаемых резьб метрических,25
39,"Пределы шагов метрических резьб, мм",1..12
40,Количество нарезаемых резьб дюймовых,30
41,"Пределы шагов дюймовых резьб, ниток/дюйм",24..2
42,Количество нарезаемых резьб модульных,12
43,"Пределы шагов модульных резьб, модуль",025..3
44,Количество нарезаемых резьб питчевых,24
45,Пределы шагов нарезаемых резьб питчевых,96..7
46,Выключающие упоры продольные,есть
47,Выключающие упоры поперечные,нет
48,Предохранение от перегрузки,есть
49,Блокировка одновременного включения продольного и поперечного движения суппорта,есть
50,Резьбоуказатель,нет
51,"Наружный диаметр ходового винта, мм",40
52,"Шаг ходового винта, мм",12
53,"Диаметр ходового вала, мм",30
54,Резцовые салазки,
55,"Наибольшее перемещение резцовых салазок, мм",100
56,"Перемещение резцовых салазок на одно деление лимба, мм",005
57,"Перемещение резцовых салазок на один оборот лимба (шаг винта резцовых салазок), мм",5
58,"Наибольший угол поворота резцовых салазок, град",±45°
59,"Цена деления шкалы поворота резцовых салазок, град",1°
60,Число резцов в резцовой головке,4
61,Задняя бабка,
62,"Диаметр пиноли задней бабки, мм",65
63,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 4
64,"Наибольшее перемещение пиноли, мм",150
65,"Перемещение пиноли на одно деление лимба, мм",нет
66,"Величина поперечного смещения корпуса бабки, мм",±15
67,Электрооборудование,
68,Количество электродвигателей на станке,1
69,"Электродвигатель главного привода, кВт",43
70,"Электродвигатель быстрых перемещений, кВт",нет
71,"Электродвигатель гидростанции, кВт",нет
72,"Электродвигатель насоса охлаждения, кВт",нет
73,Насос охлаждения (помпа),
74,Габариты и масса станка,
75,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",2650 х 1315 х 1220
76,"Масса станка (РМЦ = 1000), кг",1750
