index,Наименование параметра,ЗИМ-427
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",6
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..200
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",125
4,Рабочий стол,
5,"Ширина рабочей поверхности стола, мм",130 х 160
6,Число Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",130
9,"Ход гильзы шпинделя, мм",70
10,"Частота вращения шпинделя, об/мин","1500, 2360, 3750, 6000, 9500, 15000"
11,Количество скоростей шпинделя,6
12,Конус шпинделя,Морзе В10
13,Привод,
14,"Электродвигатель привода главного движения, кВт (об/мин)","0,18 (2760)"
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",410 х 200 х 410
17,"Масса станка, кг",40
