index,Наименование параметра,ИЖ-Т-400 (1623)
0,Основные параметры,
1,Класс точности по ГОСТ 8,Н
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",400
3,"Наибольший диаметр заготовки обрабатываемой над нижней частью суппорта, мм",
4,"Наибольший диаметр заготовки обрабатываемой над верхней частью суппорта, мм",250
5,"Наибольшая длина заготовки (РМЦ), мм",1000
6,"Высота оси центров над плоскими направляющими станины, мм",
7,"Высота от опорной поверхности резца до линии центров, мм",30
8,"Наибольшее рассояние от оси центров до кромки резцедержателя, мм",
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",Ø 54
11,"Количество ступеней прямого вращения шпинделя, об/мин",12
12,"Частота прямого вращения шпинделя, об/мин",45..2000
13,"Размер внутреннего конуса в шпинделе, М",
14,Конец шпинделя,Фланец
15,"Стандартный токарный патрон, мм",
16,Торможение шпинделя,Есть
17,Подачи,
18,"Наибольшая длина хода каретки суппорта, мм",
19,"Цена деления лимба продольного перемещения суппорта, мм",
20,"Продольное перемещение за один оборот лимба, мм",
21,"Наибольшее поперечное перемещение суппорта, мм",
22,"Цена деления лимба поперечного перемещения суппорта, мм",
23,"Поперечное перемещение за один оборот лимба, мм",
24,"Пределы рабочих подач продольных, мм/об","0,06..2,040 шагов"
25,"Пределы рабочих подач поперечных, мм/об",
26,Резьбоуказатель,есть
27,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
28,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
29,"Пределы шагов нарезаемых резьб метрических, мм",1..192
30,"Пределы шагов нарезаемых резьб Витворта, число ниток на дюйм",
31,"Пределы шагов нарезаемых резьб дюймовых, число ниток на дюйм",1 5/8..24
32,Пределы шагов нарезаемых резьб модульных,025..48
33,Выключающие продольные упоры,
34,Выключающие поперечные упоры,
35,Быстрое перемещение суппорта,
36,Резцовые салазки,
37,"Наибольшее перемещение верхних салазок суппорта, мм",
38,"Наибольший угол поворота верхних салазок суппорта, град",
39,"Цена деления лимба, мм",
40,"Наибольшие размеры державки резца (ширина х высота), мм",30 х 40
41,"Цена деления шкалы поворота, град",
42,Задняя бабка,
43,Размер внутреннего конуса пиноли задней бабки,
44,"Наибольшее перемещение пиноли задней бабки, мм",
45,"Цена деления линейки перемещение пиноли, мм",
46,"Цена деления лимба перемещение пиноли, мм",
47,"Поперечное смещение пиноли, мм",
48,Электрооборудование,
49,Количество электродвигателей на станке,3
50,"Электродвигатель главного привода, кВт (об/мин)",14
51,"Электродвигатель насоса смазки, кВт",027
52,"Электродвигатель насоса охлаждения, кВт",0125
53,Насос охлаждения (помпа),ПА-22
54,Габаритные размеры и масса станка,
55,"Габариты станка (длина ширина высота), мм",3035 х 1300 х 1350
56,"Масса станка, кг",3000
