index,Наименование параметра,ИР320ПМФ4
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности стола (длина х ширина), мм",320 х 320
3,"Наибольшие габариты обрабатываемой детали по осям X, Y, Z, мм",360 х 250 х 250250 х 300 х 300
4,"Перемещение поперечное стола (ось X), мм",400
5,"Перемещение вертикальное шпиндельной бабки (ось Y), мм",360
6,"Перемещение продольное ползуна (ось Z), мм",400
7,"Вращение индексируемого поворотного стола (ось B), град","360 000 х 0,001°"
8,"Наибольший диаметр сверления в стали, мм",20
9,"Наибольший диаметр растачиваемого отверстия, мм",125
10,"Наибольший диаметр торцовой фрезы, мм",125
11,"Точность позиционирования по осям X/ Y, мм",0016
12,"Точность позиционирования по осям Z, мм",0016
13,"Точность углового позиционирования стола, с",20
14,"Количество столов-спутников, устанавливаемых в накопителе",4
15,"Рабочая подача по осям X, Y, Z, мм/мин",1..6000
16,"Скорость быстрых установочных перемещений по осям X, Y, Z, м/мин",12
17,"Наибольшее допустимое усилие подачи стола и стойки по осям X, Y, Z",
18,"Наибольшее допустимое усилие подачи шпиндельной бабки (вертикальное) по оси Y, Н",
19,"Расстояние от оси шпинделя до стола, мм",
20,Модель устройства ЧПУ,
21,Количество управляемых координат,3
22,Количество одновременно управляемых координат при линейной/ круговой интерполяции,3/3
23,Рабочий стол,
24,"Максимальная нагрузка на стол (по центру), кг",150
25,"Частота вращения стола, об/мин",005..200
26,Количество резьбовых отверстий на поверхности стола,
27,"Диаметр резьбовых отверстий на поверхности стола, мм",М20
28,"Усилие зажима поворотного стола, кН",
29,Шпиндель,
30,"Частота вращения шпинделя, об/мин",13..5000
31,Количество скоростей шпинделя,
32,"Наибольший крутящий момент, Нм",200
33,Конус шпинделя для крепления инструмента по ГОСТ 15945-82,40
34,Магазин инструмента,
35,Количество инструмента в магазине,36
36,"Время смены инструмента, с",125
37,"Время смены инструмента от стружки к стружке, с",125
38,"Максимальный диаметр рядом стоящего инструмента, мм",125
39,"Максимальный диаметр свободно стоящего инструмента, мм",150
40,"Максимальная длина инструмента от торца шпинделя, мм",220
41,"Масса инструментальной оправки с инструментом, кг",10
42,Устройство смены столов-спутников,
43,"Время смены столов-спутников, с",35
44,Электрооборудование и привод,
45,Количество электродвигателей на станке,13
46,"Электродвигатель постоянного тока привода главного движения, кВт",75..11
47,"Электродвигатели привода подач стола, шпиндельной бабки, ползуна, поворота инструментального магазина, поворота столов-спутников, Нм",24
48,"Электродвигатель привода вращения стола, Нм",385
49,"Электродвигатель насоса гидростанции, кВт",55
50,"Электродвигатель вентилятора гидростанции, кВт",012
51,"Электродвигатель вентилятора шпинделя, кВт",02
52,"Электродвигатель насоса смазки редуктора поворотного стола, кВт",0014
53,"Электродвигатель насоса смазки направляющих, кВт",002
54,"Электронасос охлаждающей жидкости Мощность, кВт",015
55,"Электронасос жидкости для смыва стружки, кВт",06
56,"Суммарная мощность всех электродвигателей на станке, кВт",30
57,Габариты и масса станка,
58,"Габариты станка (длина х ширина х высота), мм",3840 х 2300 х 2507
59,"Масса станка, кг",10000
