index,Наименование параметра,ИТ-1Е
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",400
3,"Наибольший диаметр заготовки над суппортом, мм",225
4,"Наибольший диаметр заготовки над выемкой в станине, мм",550
5,"Наибольшая длина заготовки (РМЦ), мм",1000
6,Шпиндель,
7,"Диаметр сквозного отверстия в шпинделе, мм",38
8,"Наибольший диаметр прутка, мм",36
9,Число ступеней частот прямого вращения шпинделя,14
10,"Частота прямого вращения шпинделя, об/мин (скоростей шпинделя)",20..1800 (14)
11,Размер внутреннего конуса в шпинделе по ГОСТ 13214-67,Морзе 5АТ8
12,Конец шпинделя по ГОСТ 12593-72,6к
13,Торможение шпинделя,есть
14,Блокировка рукояток от одновременного включения шпинделя,
15,Подачи,
16,"Наибольшая длина хода каретки от руки, мм",
17,"Наибольший поперечный ход суппорта, мм",
18,"Перемещение суппорта на одно деление лимба при продольном движении, мм",
19,"Перемещение суппорта на одно деление лимба при поперечном движении, мм",
20,"Наибольший ход верхнего суппорта (резцовые салазки), мм",
21,"Перемещение резцовых салазок на одно деление лимба, мм",
22,Число ступеней продольных подач,50
23,"Пределы рабочих подач продольных, мм/об (число ступеней)","0,05..6 (50)"
24,Число ступеней поперечных подач,50
25,"Пределы рабочих подач поперечных, мм/об (число ступеней)","0,025..3 (50)"
26,"Скорость быстрых перемещений суппорта, м/мин",нет
27,Количество нарезаемых резьб метрических,
28,"Пределы шагов нарезаемых резьб метрических, мм",025..112
29,Пределы шагов нарезаемых резьб дюймовых,56..1
30,Пределы шагов нарезаемых резьб модульных,025..56
31,Пределы шагов нарезаемых резьб питчевых,56..1
32,Выключающие упоры при продольном движении,нет
33,Выключающие упоры при поперечном движении,нет
34,Защита от перегрузки при продольном движении,есть
35,Блокировка рукояток от одновременного включения,есть
36,Задняя бабка,
37,"Наибольшее перемещение пиноли, мм",90
38,"Перемещение бабки поперек оси центров, мм",± 10
39,"Внутренний конус, мм",Морзе №4
40,Электрооборудование,
41,Количество электродвигателей на станке,2
42,"Электродвигатель главного привода М1, кВт",3
43,"Электродвигатель насоса охлаждения М2, кВт",012
44,Габариты и масса станка,
45,"Габариты станка (длина ширина высота) (РМЦ=1000), мм",2200 х 1000 х 1300
46,"Масса станка, кг",1380
