index,Наименование параметра,ИТ42
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",320
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",125
4,"Наибольшая длина обрабатываемого изделия в центрах, мм",400
5,"Наибольшая длина обрабатываемого изделия в патроне, мм",125
6,"Наибольшее сечение резца, устанавливаемого в пазах инструментальной головки, мм",20 х 20
7,Количество сменяемого по программе инструмента,8
8,Шпиндель,
9,"Диапазон скоростей шпинделя, переключаемых по программе, об/мин",0..3000
10,"Количество скоростей шпинделя, устанавливаемый вручную, об/мин",
11,"Количество рабочих скоростей шпинделя, переключаемых по программе",
12,"Диаметр отверстия в шпинделе, мм",32
13,Размер внутреннего конуса шпинделя передней бабки по ГОСТ 25557-82,Морзе 5
14,Центр в шпинделе передней бабки по ГОСТ 13214-79 (7032-0029),-
15,Конец шпинделя по ГОСТ 12593-72,4К
16,"Наибольший крутящий момент на шпинделе, Нм",8996
17,"Предельный диаметр сверления по стали/ чугуну, мм",
18,Торможение шпинделя,
19,Реверсирование шпинделя по программе,
20,"Диаметр стандартного патрона, мм",160
21,Суппорт. Подачи,
22,"Наибольшее перемещение продольной каретки суппорта, мм",470
23,"Наибольшее перемещение поперечной каретки суппорта, мм",173
24,"Диапазон скоростей продольных подач при работе по одной координате, мм/мин",3..2000
25,"Диапазон скоростей поперечных подач при работе по одной координате, мм/мин",15..1000
26,"Диапазон скоростей продольных подач при работе по двум координатам, мм/мин",
27,"Диапазон скоростей поперечных подач при работе по двум координатам, мм/мин",
28,"Скорость быстрых (установочных) продольных перемещений суппорта, м/мин",8
29,"Скорость быстрых (установочных) поперечных перемещений суппорта, м/мин",4
30,"Предельные значения шагов нарезаемых цилиндрических резьб, мм",02..40
31,"Точность позиционирования по диаметру (оси X), мм",
32,"Точность позиционирования по длине (оси Z), мм",
33,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),8
34,Задняя бабка,
35,"Наибольшее перемещение пиноли задней бабки, мм",90
36,Размер внутреннего конуса в пиноли задней бабки по ГОСТ 25557-82,Морзе 3
37,Центр в шпинделе передней бабки по ГОСТ 13214-79 (7032-0029),-
38,"Цена деления лимба, мм",
39,Параметры системы ЧПУ,
40,Обозначение системы ЧПУ,Маяк 223МП
41,Число координат,2
42,Количество одновременно управляемых координат,2
43,"Дискретность задания перемещения в продольном направлении (дискретность задания по оси Z), мм",0002
44,"Дискретность задания перемещения в поперечном направлении (на радиус) (дискретность задания по оси X), мм",0001
45,Тип датчика обратной связи в приводе подач,ВЕ-178А
46,Тип резьбонарезного датчика,ВЕ-178А
47,Электрооборудование. Привод,
48,Количество электродвигателей на станке,9
49,"Электродвигатель привода главного движения, кВт","7,5 (М6)"
50,"Электродвигатель привода продольных подач, кВт","0,55 (М8)"
51,"Электродвигатель привода поперечных подач, кВт","0,55 (М7)"
52,"Электродвигатель револьверной головки, кВт","0,12 (М5)"
53,"Электродвигатель привода пиноли задней бабки, кВт","0,25 (М4)"
54,"Электродвигатель гидростанции, кВт",-
55,"Электродвигатель станции смазки шпинделя, кВт","0,09 (М1)"
56,"Электродвигатель станции смазки узлов станка, кВт","0,55 (М9)"
57,"Электродвигатель обдува привода главного движения, кВт","0,09 (М2)"
58,"Электродвигатель насоса охлаждения, кВт","0,18 (М3)"
59,Габариты и масса станка,2950 х 1800 х 1900
60,"Масса станка с ЧПУ, кг",2160
